Address,street number,Type,Rooms,Size (m2),Agency url,Agency name
Tehtaankatu,25,2 573 000 €,4,166.5 ,https://bo.fi/kohde/544454/,bo
Punavuorenkatu,21,857 000 €,4,111.5 ,https://bo.fi/kohde/544411/,bo
Ratakatu,27,1 150 000 €,4,119.9 ,https://bo.fi/kohde/544295/,bo
Iso Roobertinkatu ,,498 000 €,2,57.5 ,https://bo.fi/kohde/544035/,bo
Leppäsuonkatu,10,65 000 €,,12 ,https://bo.fi/kohde/543851/,bo
Merimiehenkatu,39,319 000 €,2,39.5 ,https://bo.fi/kohde/543724/,bo
Ruoholahdenkatu,10,675 000 €,4,89 ,https://bo.fi/kohde/543666/,bo
Yrjönkatu,25,450 000 €,1,47.7 ,https://bo.fi/kohde/543446/,bo
Lönnrotinkatu ,33-35,1 248 000 €,4,163.5 ,https://bo.fi/kohde/543366/,bo
Fredrikinkatu,19,990 000 €,,112 ,https://bo.fi/kohde/543253/,bo
Ruoholahdenkatu,4,389 000 €,2,40.5 ,https://bo.fi/kohde/542010/,bo
Uudenmaankatu,36,1 425 000 €,5,185 ,https://bo.fi/kohde/541667/,bo
Kalevankatu,38,198 000 €,1,18.5 ,https://bo.fi/kohde/541515/,bo
Unioninkatu,5,950 000 €,3,81 ,https://bo.fi/kohde/545723/,bo
Huvilakatu,25,1 240 000 €,4,113.5 ,https://bo.fi/kohde/544212/,bo
Speranskintie,3,750 000 €,3,68 ,https://bo.fi/kohde/544192/,bo
Korkeavuorenkatu,21,1 495 000 €,,88.5 ,https://bo.fi/kohde/545710/,bo
Neitsytpolku,3,2 850 000 €,,257.5 ,https://bo.fi/kohde/545639/,bo
Vuorimiehenkatu,1,1 780 000 €,3,132 ,https://bo.fi/kohde/545637/,bo
Jääkärinkatu,7,275 000 €,1,29 ,https://bo.fi/kohde/545608/,bo
Merikatu,5,1 430 478 €,2,113 ,https://bo.fi/kohde/545551/,bo
Laivurinkatu,7,625 000 €,2,58 ,https://bo.fi/kohde/545276/,bo
Engelinaukio,21,3 600 000 €,9,218 ,https://bo.fi/kohde/545195/,bo
Speranskintie,3,1 030 000 €,3,102.5 ,https://bo.fi/kohde/545187/,bo
Huvilakuja,14,1 380 000 €,3,111 ,https://bo.fi/kohde/544079/,bo
Tarkk'Ampujankatu,2,749 000 €,2,83 ,https://bo.fi/kohde/544062/,bo
Kapteeninkatu ,8-10,498 000 €,2,52.9 ,https://bo.fi/kohde/543887/,bo
Vuorimiehenkatu,5,3 690 000 €,6,222 ,https://bo.fi/kohde/543758/,bo
Kapteeninkatu,24,389 000 €,2,42 ,https://bo.fi/kohde/543271/,bo
Neitsytpolku B,2,583 000 €,2,65 ,https://bo.fi/kohde/543153/,bo
Puistokatu,7,1 350 000 €,4,133 ,https://bo.fi/kohde/545078/,bo
Merikatu,25,4 500 000 €,7,208 ,https://bo.fi/kohde/544951/,bo
Korkeavuorenkatu,3,995 000 €,4,101 ,https://bo.fi/kohde/544946/,bo
Pietarinkatu,1,942 000 €,3,124 ,https://bo.fi/kohde/544931/,bo
Hernesaarenkatu,7,1 960 000 €,,187.5 ,https://bo.fi/kohde/543115/,bo
Huvilakatu,14,685 000 €,2,104 ,https://bo.fi/kohde/542111/,bo
Merikatu,5,1 154 251 €,2,99 ,https://bo.fi/kohde/540695/,bo
Merikatu,5,2 577 046 €,5,170 ,https://bo.fi/kohde/540692/,bo
Tehtaankatu,16,860 000 €,2,75 ,https://bo.fi/kohde/544900/,bo
Tähtitorninkatu,16,880 000 €,2,79 ,https://bo.fi/kohde/544846/,bo
Merikatu,11,1 750 000 €,3,86 ,https://bo.fi/kohde/544837/,bo
Merikatu,11,2 500 000 €,5,123 ,https://bo.fi/kohde/544836/,bo
Pietarinkatu,15,217 000 €,1,24 ,https://bo.fi/kohde/544829/,bo
Eteläranta,2,1 590 000 €,,157.9 ,https://bo.fi/kohde/535071/,bo
Johanneksentie,2,1 425 000 €,4,144 ,https://bo.fi/kohde/544812/,bo
Laivanvarustajankatu,4,690 000 €,2,65.5 ,https://bo.fi/kohde/544739/,bo
Jääkärinkatu,5,1 249 000 €,5,158 ,https://bo.fi/kohde/544576/,bo
Merikatu,5,1 533 000 €,3,105 ,https://bo.fi/kohde/544573/,bo
Merikatu,3,4 900 000 €,6,211 ,https://bo.fi/kohde/544523/,bo
Vuorimiehenkatu,1,1 700 000 €,3,123 ,https://bo.fi/kohde/544390/,bo
Armfeltintie,2,2 350 000 €,5,148 ,https://bo.fi/kohde/544353/,bo
Tarkkampujankatu,8,790 000 €,3,112 ,https://bo.fi/kohde/544339/,bo
Eteläinen Makasiininkatu,,960 000 €,4,111 ,https://bo.fi/kohde/544322/,bo
Ruoholahdenkatu,6,1 425 000 €,5,210 ,https://bo.fi/kohde/545724/,bo
Kalevankatu,45,370 000 €,2,44 ,https://bo.fi/kohde/545721/,bo
Lönnrotinkatu,22,798 000 €,2,100 ,https://bo.fi/kohde/545684/,bo
Yrjönkatu,25,1 249 000 €,3,94.41 ,https://bo.fi/kohde/545660/,bo
Fredrikinkatu,16,1 490 000 €,5,156 ,https://bo.fi/kohde/545648/,bo
Uudenmaankatu,44,316 000 €,1,41 ,https://bo.fi/kohde/545647/,bo
Uudenmaankatu ,19-21,1 190 000 €,3,113 ,https://bo.fi/kohde/545638/,bo
Tehtaankatu,25,795 000 €,2,68 ,https://bo.fi/kohde/545533/,bo
Merimiehenkatu,31,430 000 €,3,60 ,https://bo.fi/kohde/545516/,bo
Pursimiehenkatu,24,549 000 €,3,66 ,https://bo.fi/kohde/545346/,bo
Uudenmaankatu,38,769 000 €,3,88.5 ,https://bo.fi/kohde/545323/,bo
Lapinlahdenkatu,7,419 000 €,1,51 ,https://bo.fi/kohde/545262/,bo
Uudenmaankatu,44,418 000 €,1,50 ,https://bo.fi/kohde/545203/,bo
Lapinlahdenkatu,23,489 000 €,2,62 ,https://bo.fi/kohde/545118/,bo
Punavuorenkatu,23,957 000 €,5,112 ,https://bo.fi/kohde/545022/,bo
Punavuorenkatu,4,569 000 €,2,68 ,https://bo.fi/kohde/545014/,bo
Bulevardi,19,2 260 000 €,2,177 ,https://bo.fi/kohde/545005/,bo
Uudenmaankatu,34,890 000 €,3,102 ,https://bo.fi/kohde/544854/,bo
Malminkatu,24,725 000 €,4,93.5 ,https://bo.fi/kohde/544844/,bo
Uudenmaankatu,44,275 000 €,,62 ,https://bo.fi/kohde/544796/,bo
Ratakatu,19,560 000 €,3,87.78 ,https://bo.fi/kohde/544659/,bo
Uudenmaankatu,23,1 580 000 €,5,193 ,https://bo.fi/kohde/544605/,bo
Tehtaankatu,25,1 293 750 €,3,103.5 ,https://bo.fi/kohde/544598/,bo
Eerikinkatu,50,427 000 €,,48 ,https://bo.fi/kohde/544566/,bo
Pursimiehenkatu,14,295 000 €,1,34.5 ,https://bo.fi/kohde/544557/,bo
Merimiehenkatu,39,290 000 €,,37.5 ,https://bo.fi/kohde/544490/,bo
Uudenmaankatu,38,998 000 €,2,84 ,https://bo.fi/kohde/544475/,bo
