Address,street number,Type,Rooms,Size (m2),Agency url,Agency name
Punatulkuntie,1,189 000 €,,50.5 ,https://centrallkv.fi/fi/myyntikohteet/269-Punatulkuntie-1.html,centrallkv
Iso Roobertinkatu,,388 000 €,2,43.5 ,https://centrallkv.fi/fi/myyntikohteet/267-Iso-Roobertinkatu-41.html,centrallkv
Pursimiehenkatu,15,829 000 €,2,77 ,https://centrallkv.fi/fi/myyntikohteet/265-Pursimiehenkatu-15.html,centrallkv
Rajatie,14,219 000 €,2,105 ,https://centrallkv.fi/fi/myyntikohteet/261-Rajatie-14.html,centrallkv
Topeliuksenkatu,34,579 000 €,3,78 ,https://centrallkv.fi/fi/myyntikohteet/263-Topeliuksenkatu-34.html,centrallkv
Verkkotie,30,329 000 €,4,112 ,https://centrallkv.fi/fi/myyntikohteet/259-Verkkotie-30.html,centrallkv
Orapihlajakuja,4,875 000 €,3,204 ,https://centrallkv.fi/fi/myyntikohteet/257-Orapihlajakuja-4.html,centrallkv
Pohjoisranta,16,1 098 000 €,3,111 ,https://centrallkv.fi/fi/myyntikohteet/255-Pohjoisranta-16.html,centrallkv
Albertinkatu,46,879 000 €,3,106 ,https://centrallkv.fi/fi/myyntikohteet/253-Albertinkatu-46.html,centrallkv
Laajalahdentie,26,238 000 €,,35 ,https://centrallkv.fi/fi/myyntikohteet/249-Laajalahdentie-26.html,centrallkv
Lapinlahdenkatu,15,515 000 €,,65.42 ,https://centrallkv.fi/fi/myyntikohteet/251-Lapinlahdenkatu-15.html,centrallkv
Aallonhalkoja,3,319 000 €,,33.5 ,https://centrallkv.fi/fi/myyntikohteet/245-Aallonhalkoja-3.html,centrallkv
Kirstinkatu,4,229 000 €,1,31.5 ,https://centrallkv.fi/fi/myyntikohteet/247-Kirstinkatu-4.html,centrallkv
Eerikinkatu,42,319 000 €,,35 ,https://centrallkv.fi/fi/myyntikohteet/243-Eerikinkatu-42.html,centrallkv
Puistokatu,11,3 350 000 €,4,211 ,https://centrallkv.fi/fi/myyntikohteet/241-Puistokatu-11.html,centrallkv
Ängslandintie,183,349 000 €,,,https://centrallkv.fi/fi/myyntikohteet/159-ngslandintie-183.html,centrallkv
Ullankatu,3,1 520 000 €,4,142 ,https://centrallkv.fi/fi/myyntikohteet/161-Ullankatu-3.html,centrallkv
Ängslandintie,183,1 250 000 €,,,https://centrallkv.fi/fi/myyntikohteet/163-ngslandintie-183.html,centrallkv
