Address,street number,Type,Rooms,Size (m2),Agency url,Agency name
Jääkärinkatu ,15a,895 000 €,4,129,https://www.habita.com/kohde/653988,habita
Vuorimiehenkatu ,16,469 000 €,2,52.2,https://www.habita.com/kohde/653788,habita
Lapinlahdenkatu ,11,189 000 €,1,19.5,https://www.habita.com/kohde/653124,habita
Kapteeninkatu ,26,952 000 €,3,112,https://www.habita.com/kohde/653945,habita
Hietalahdenkatu ,10,1 285 000 €,6,160.7,https://www.habita.com/kohde/652959,habita
Albertinkatu ,27b,1 028 000 €,4,110.8,https://www.habita.com/kohde/653422,habita
Eerikinkatu ,43,349 000 €,2,44,https://www.habita.com/kohde/653437,habita
Albertinkatu ,44,529 000 €,2,67.2,https://www.habita.com/kohde/653196,habita
Uudenmaankatu ,19-21,598 000 €,3,72,https://www.habita.com/kohde/654714,habita
Vuorimiehenkatu ,18,225 000 €,1,28,https://www.habita.com/kohde/654585,habita
Fredrikinkatu ,39,1 050 000 €,4,125,https://www.habita.com/kohde/654867,habita
Hietalahdenkatu ,4,579 000 €,2,65,https://www.habita.com/kohde/655210,habita
Merimiehenkatu ,19,279 000 €,1,29,https://www.habita.com/kohde/654736,habita
Ratakatu ,21,718 000 €,4,81.5,https://www.habita.com/kohde/654279,habita
Punavuorenkatu ,16,748 000 €,1,61.5,https://www.habita.com/kohde/654395,habita
Albertinkatu ,19,493 000 €,1,56.5,https://www.habita.com/kohde/655125,habita
Vuorimiehenkatu ,33,435 000 €,2,53.6,https://www.habita.com/kohde/654752,habita
Iso Roobertinkatu ,36-40,678 000 €,3,97,https://www.habita.com/kohde/654124,habita
Vuorimiehenkatu ,18,255 000 €,1,28,https://www.habita.com/kohde/654997,habita
