Address,street number,Type,Rooms,Size (m2),Agency url,Agency name
Korkeavuorenkatu,39,460 000 €,2,50,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1353412,kiinteistomaailma
Ullanlinnankatu,3,484 000 €,2,50,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1353523,kiinteistomaailma
Rehbinderintie,5-7,1 380 000 €,4,102.4,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1354937,kiinteistomaailma
Korkeavuorenkatu,31-33,1 740 000 €,4,162,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1347749,kiinteistomaailma
Tehtaankatu,16,992 000 €,3,98,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1347022,kiinteistomaailma
Laivurinkatu,41,967 000 €,4,119,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1351705,kiinteistomaailma
Laivanvarustajankatu,4,358 000 €,2,38.5,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1357245,kiinteistomaailma
Laivanvarustajankatu,5,968 000 €,4,103.5,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1356746,kiinteistomaailma
Kapteeninkatu,8-10,475 000 €,2,55.5,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1356970,kiinteistomaailma
Laivanvarustajankatu,4,650 000 €,2,75.5,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1354634,kiinteistomaailma
Neitsytpolku,9,535 000 €,2,67,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1355435,kiinteistomaailma
Puistokatu,3a,1 050 000 €,4,119,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1356741,kiinteistomaailma
Jääkärinkatu,3,352 000 €,3,49,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1355800,kiinteistomaailma
Huvilakatu,19,1 398 000 €,4,116,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1355596,kiinteistomaailma
Neitsytpolku,9,478 000 €,1,48.5,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1345887,kiinteistomaailma
Huvilakatu,8,255 000 €,1,17,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1353566,kiinteistomaailma
Raatimiehenkatu,4,1 750 000 €,4,210,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1356926,kiinteistomaailma
Tehtaankatu,20,408 000 €,2,50.95,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1335837,kiinteistomaailma
Huvilakatu,9-11,425 000 €,2,43.5,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1354005,kiinteistomaailma
Puistokatu,9,2 200 000 €,4,166,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1346098,kiinteistomaailma
Perämiehenkatu,15,633 000 €,3,81,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1332194,kiinteistomaailma
Iso Roobertinkatu,3-5,793 000 €,2,96,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1342015,kiinteistomaailma
Albertinkatu,15,509 000 €,3,65,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1357474,kiinteistomaailma
Telakkakatu,4,523 000 €,2,57.5,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1356294,kiinteistomaailma
Punavuorenkatu,18,395 000 €,2,43.5,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1347682,kiinteistomaailma
Pursimiehenkatu,5,525 000 €,3,71,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1356710,kiinteistomaailma
Uudenmaankatu,38,595 000 €,2,75,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1357172,kiinteistomaailma
Merimiehenkatu,10,535 000 €,2,63,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1326107,kiinteistomaailma
Iso Roobertinkatu,35-37,430 000 €,3,52.5,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1353833,kiinteistomaailma
Iso Roobertinkatu,28,495 000 €,1,62,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1331434,kiinteistomaailma
Merimiehenkatu,27,288 000 €,1,31.9,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1352374,kiinteistomaailma
Bulevardi,54,649 000 €,3,81.5,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1354030,kiinteistomaailma
Uudenmaankatu,26,648 000 €,4,75,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1351455,kiinteistomaailma
