Address,street number,Type,Rooms,Size (m2),Agency url,Agency name
Vattuniemenkatu,18,388 000 €,2,61,https://neliotliikkuu.fi/myytavat-asunnot/90574/,neliotliikkuu
Messeniuksenkatu,6,325 000 €,2,53,https://neliotliikkuu.fi/myytavat-asunnot/90540/,neliotliikkuu
Uudenmaankatu,19-21,248 000 €,1,29.50,https://neliotliikkuu.fi/myytavat-asunnot/90588/,neliotliikkuu
Merikorttitie,1,218 000 €,4,82,https://neliotliikkuu.fi/myytavat-asunnot/90477/,neliotliikkuu
Ryytikuja,3,220 000 €,3,51,https://neliotliikkuu.fi/myytavat-asunnot/90479/,neliotliikkuu
Vänrikki Stoolin Katu,8,798 000 €,4,130.90,https://neliotliikkuu.fi/myytavat-asunnot/90434/,neliotliikkuu
Temppelikatu,8,1 284 000 €,3,130,https://neliotliikkuu.fi/myytavat-asunnot/90450/,neliotliikkuu
Ulvilantie,27,205 000 €,2,48.10,https://neliotliikkuu.fi/myytavat-asunnot/90458/,neliotliikkuu
Hiekkajaalanranta,1,398 000 €,3,76,https://neliotliikkuu.fi/myytavat-asunnot/90425/,neliotliikkuu
Capellanranta,3,978 000 €,3,103,https://neliotliikkuu.fi/myytavat-asunnot/90511/,neliotliikkuu
Lönnrotinkatu,22,300 000 €,1,31.50,https://neliotliikkuu.fi/myytavat-asunnot/90399/,neliotliikkuu
Urho Kekkosen Katu,8,660 000 €,3,95,https://neliotliikkuu.fi/myytavat-asunnot/90577/,neliotliikkuu
Fredrikinkatu,16,918 000 €,4,109.50,https://neliotliikkuu.fi/myytavat-asunnot/90514/,neliotliikkuu
Museokatu,5,790 000 €,2,86.50,https://neliotliikkuu.fi/myytavat-asunnot/90478/,neliotliikkuu
Hakaniemenranta,26,238 000 €,2,53,https://neliotliikkuu.fi/myytavat-asunnot/90481/,neliotliikkuu
Hiihtäjäntie,2,259 000 €,3,55.50,https://neliotliikkuu.fi/myytavat-asunnot/90388/,neliotliikkuu
Käenkuja,4,332 000 €,2,47.50,https://neliotliikkuu.fi/myytavat-asunnot/90453/,neliotliikkuu
Tullivuorentie,24,249 000 €,3,57.50,https://neliotliikkuu.fi/myytavat-asunnot/81016/,neliotliikkuu
Fabianinkatu,3,799 000 €,,76,https://neliotliikkuu.fi/myytavat-asunnot/69432/,neliotliikkuu
Kirvestie,27,565 000 €,5,155  / 174,https://neliotliikkuu.fi/myytavat-asunnot/90579/,neliotliikkuu
Sepänkatu,7,475 000 €,2,60,https://neliotliikkuu.fi/myytavat-asunnot/90370/,neliotliikkuu
Porvoonkatu,32,265 000 €,2,53,https://neliotliikkuu.fi/myytavat-asunnot/90391/,neliotliikkuu
Orioninkatu,2,158 000 €,1,24,https://neliotliikkuu.fi/myytavat-asunnot/90416/,neliotliikkuu
Topeliuksenkatu,29,455 000 €,3,76,https://neliotliikkuu.fi/myytavat-asunnot/90373/,neliotliikkuu
Jollaksentie,26,945 000 €,4,126  / 246,https://neliotliikkuu.fi/myytavat-asunnot/90486/,neliotliikkuu
Tunturikatu,12,785 000 €,3,94,https://neliotliikkuu.fi/myytavat-asunnot/90449/,neliotliikkuu
Malminrinne,2-4,310 000 €,2,36,https://neliotliikkuu.fi/myytavat-asunnot/90330/,neliotliikkuu
Vaasankatu,20,238 000 €,2,51,https://neliotliikkuu.fi/myytavat-asunnot/90357/,neliotliikkuu
