Address,street number,Type,Rooms,Size (m2),Agency url,Agency name
Pietarinkatu,13,298 000 €,1,,https://remax.fi/kohde/Helsinki/Ullanlinna/Kerrostalo/80333289,remax
Merikatu,1,525 000 €,2,,https://remax.fi/kohde/Helsinki/Ullanlinna/Kerrostalo/80310431,remax
Jääkärinkatu,6b,1 260 000 €,4,,https://remax.fi/kohde/Helsinki/Ullanlinna/Kerrostalo/80309176,remax
Laivanvarustajankatu,7,628 000 €,2,,https://remax.fi/kohde/Helsinki/Ullanlinna/Kerrostalo/80309096,remax
Pohjoinen,35,1 289 000 €,4,,"https://remax.fi/kohde/Helsinki/Töölö, Etu-Töölö, Kamppi, Ullanlinna, Lauttasaari/Kerrostalo/80308179",remax
Kapteeninkatu,2,323 000 €,1,,https://remax.fi/kohde/Hesinki/Ullanlinna/Kerrostalo/80308106,remax
Korkeavuorenkatu,3,960 000 €,2,,https://remax.fi/kohde/Helsinki/Ullanlinna/Kerrostalo/80304559,remax
Tarkk'Ampujankatu,12,559 000 €,3,,https://remax.fi/kohde/Helsinki/Ullanlinna/Kerrostalo/80296347,remax
Korkeavuorenkatu,8,555 000 €,2,,https://remax.fi/kohde/Helsinki/Ullanlinna/Kerrostalo/80294518,remax
Pietarinkatu,13,775 000 €,3,,https://remax.fi/kohde/Helsinki/Ullanlinna/Kerrostalo/80293912,remax
Albertinkatu,12,418 000 €,2,,https://remax.fi/kohde/Helsinki/Punavuori/Kerrostalo/80333379,remax
Fredrikinkatu,25,1 940 000 €,6,,https://remax.fi/kohde/Helsinki/Punavuori/Kerrostalo/80311074,remax
Albertinkatu,8,595 000 €,3,,https://remax.fi/kohde/Helsinki/Punavuori/Kerrostalo/80310722,remax
Annankatu,8,370 000 €,,,https://remax.fi/kohde/Helsinki/Punavuori/Kerrostalo/80310384,remax
Punavuorenkatu,15,340 000 €,2,,https://remax.fi/kohde/Helsinki/Punavuori/Kerrostalo/80307301,remax
Merimiehenkatu,33,369 000 €,2,,https://remax.fi/kohde/Helsinki/Punavuori/Kerrostalo/80306879,remax
Iso,24,624 000 €,3,,https://remax.fi/kohde/Helsinki/Punavuori/Kerrostalo/80305850,remax
Uudenmaankatu,13,749 000 €,2,,"https://remax.fi/kohde/Helsinki/Kamppi, Punavuori/Kerrostalo/80304507",remax
Albertinkatu,8,589 000 €,3,,https://remax.fi/kohde/Helsinki/Punavuori/Kerrostalo/80304320,remax
Uudenmaankatu,39,905 000 €,5,,https://remax.fi/kohde/Helsinki/Punavuori/Kerrostalo/80303627,remax
Kankurinkatu,2,188 500 €,1,,https://remax.fi/kohde/Helsinki/Punavuori/Kerrostalo/80295138,remax
Ratakatu,27,2 350 000 €,7,,https://remax.fi/kohde/Helsinki/Punavuori/Kerrostalo/80292038,remax
Iso,43,885 000 €,4,,https://remax.fi/kohde/Helsinki/Punavuori/Kerrostalo/80292005,remax
Piritanaukio,3,2 099 000 €,4,,"https://remax.fi/kohde/Helsinki/Eira, Punavuori/Kerrostalo/80288407",remax
Lönnrotinkatu,22,749 000 €,1,,"https://remax.fi/kohde/Helsinki/Kamppi, Punavuori/Kerrostalo/80127584",remax
Kalevankatu,49,275 000 €,1,,https://remax.fi/kohde/Helsinki/Kamppi/Kerrostalo/80333559,remax
Eerikinkatu,42,434 000 €,2,,https://remax.fi/kohde/Helsinki/Kamppi/Kerrostalo/80332523,remax
Malminkatu,32,430 000 €,1,,https://remax.fi/kohde/Helsinki/Kamppi/Kerrostalo/80311056,remax
Lapinlahdenkatu,12,194 000 €,1,,"https://remax.fi/kohde/Helsinki/Kamppi, Etu-Töölö/Kerrostalo/80309894",remax
Fredrikinkatu,30,949 000 €,3,,https://remax.fi/kohde/Helsinki/Kamppi/Kerrostalo/80309718,remax
Malminkatu,40,384 000 €,2,,https://remax.fi/kohde/Helsinki/Kamppi/Kerrostalo/80308146,remax
Lönnrotinkatu,28b,1 095 000 €,3,,https://remax.fi/kohde/Helsinki/Kamppi/Kerrostalo/80308071,remax
Lapinlahdenkatu,23,349 000 €,1,,https://remax.fi/kohde/Helsinki/Kamppi/Kerrostalo/80306538,remax
Kalevankatu,45,269 000 €,1,,https://remax.fi/kohde/Helsinki/Kamppi/Kerrostalo/80304918,remax
Albertinkatu,27b,375 000 €,1,,https://remax.fi/kohde/Helsinki/Kamppi/Kerrostalo/80303395,remax
Albertinkatu,27b,1 070 000 €,4,,https://remax.fi/kohde/Helsinki/Kamppi/Kerrostalo/80301039,remax
Kalevankatu,61,498 000 €,2,,https://remax.fi/kohde/Helsinki/Kamppi/Kerrostalo/80300808,remax
Kalevankatu,45,569 000 €,2,,"https://remax.fi/kohde/Helsinki/Kamppi, Hietalahti/Kerrostalo/80295009",remax
Simonkatu,10,385 000 €,1,,https://remax.fi/kohde/Helsinki/Kamppi/Kerrostalo/80294624,remax
Eteläinen,16a,558 000 €,3,,https://remax.fi/kohde/Helsinki/Kamppi/Kerrostalo/80292507,remax
Pohjoinen,31,598 000 €,3,,https://remax.fi/kohde/Helsinki/Kamppi/Kerrostalo/80127649,remax
