Address,street number,Type,Rooms,Size (m2),Agency url,Agency name
Itätuulentie,10,695 000 €,,162 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/itatuulentie-10-41570723,rive
Vihervarpusentie,12,620 000 €,,125.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/vihervarpusentie-12-295adbb7,rive
Santavuorentie,6,265 000 €,,44 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/santavuorentie-6-d7072a,rive
Reppukatu,17,325 000 €,,76 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/reppukatu-17-1b2b6ce4,rive
Damaskuksentie,4,265 000 €,,51 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/damaskuksentie-4-ea751458,rive
Telakkakatu,12,692 000 €,,50.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/telakkakatu-12-a45011fb,rive
Tehtaankatu,34,995 000 €,,87.2 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/tehtaankatu-34-a3223645,rive
Pikalähetintie,18,290 000 €,,64 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/pikalahetintie-18-db91512e,rive
Melkonkatu,3,438 000 €,,75 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/melkonkatu-3-d3bbffe4,rive
Sinkiläntie,1,295 000 €,,63.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/sinkilantie-1-76b7b956,rive
Luotsikatu,6,560 000 €,,76 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/luotsikatu-6-08b5ec9d,rive
Mechelininkatu,17,592 000 €,,81 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/mechelininkatu-17-de478ba0,rive
Agricolankatu,4,262 000 €,,31.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/agricolankatu-4-72c64ec1,rive
Riukutie,5,195 000 €,,59 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/riukutie-5-a7ffc842,rive
Kirjatyöntekijänkatu,4,464 000 €,,54.3 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/kirjatyontekijankatu-4-e3285a2d,rive
Yläkiventie,3,242 500 €,,72 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/ylakiventie-3-cd103a,rive
Lauttasaarentie,54,648 000 €,,86 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/lauttasaarentie-54-1e6b157b,rive
