Address,street number,Type,Rooms,Size (m2),Agency url,Agency name
Oolannintie,2,440 000 €,,105 ,https://www.solidhouse.fi/kohde/asunto/vantaa/vantaa/kartanonkoski/80305751,solidhouse
Maurizintie,6,162 000 €,,97.5 ,https://www.solidhouse.fi/kohde/asunto/paimio/paimio/vista___kriivari/80332772,solidhouse
Kailinkatu,4,149 000 €,,71.5 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/tupuri/80333701,solidhouse
Blasieholmankatu,8,159 000 €,,107 ,https://www.solidhouse.fi/kohde/asunto/uusikaupunki/uusikaupunki/keskusta/80333876,solidhouse
Lepolantie,22,65 000 €,,60.5 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/kuusjoki/80334155,solidhouse
Syväraumankatu,4,99 000 €,,65.5 ,https://www.solidhouse.fi/kohde/asunto/rauma/rauma/ota/80332850,solidhouse
Riippakoivuntie,9,159 000 €,,67 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/viikinainen/80334826,solidhouse
Aninkaistenkatu,16,169 000 €,,38 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/keskusta/80310679,solidhouse
Huvilakatu,6,639 000 €,,360 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/vasaramaki/80296681,solidhouse
Perätie,8,165 000 €,,183.5 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/halikko/80334357,solidhouse
Juusjärvi,,40 000 €,,,https://www.solidhouse.fi/kohde/asunto/kirkkonummi/kirkkonummi/lapinkyla/80310231,solidhouse
Kivalterintie,22,205 000 €,,50 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/oulunkyla/80307814,solidhouse
Jalavatie,1,73 000 €,,76.5 ,https://www.solidhouse.fi/kohde/asunto/uusikaupunki/uusikaupunki/hakametsa/80333241,solidhouse
Tilhenkatu,23,139 900 €,,58.5 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/paaskyvuori/80334229,solidhouse
Itäinen Rantakatu,74,279 000 €,,57 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/telakkaranta/80333232,solidhouse
Voudinkuja,4,119 800 €,,75 ,https://www.solidhouse.fi/kohde/asunto/salo/halikko/halikko/80309483,solidhouse
Döbelninkatu,5,1 015 000 €,,170 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/taka-toolo/80310763,solidhouse
Iso Roobertinkatu,35-37,352 000 €,,39.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/punavuori/80333762,solidhouse
Ollikkalankatu,22,44 900 €,,60 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/ollikkala/80334555,solidhouse
Varssillankatu,13,73 000 €,,53 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/varssillankatu_13_a/80333084,solidhouse
Nuolikuja,2,265 000 €,,149.5 ,https://www.solidhouse.fi/kohde/asunto/uusikaupunki/uusikaupunki/palometta/80332990,solidhouse
Teollisuuskatu,13,146 000 €,,73 ,https://www.solidhouse.fi/kohde/asunto/rauma/rauma/polari/80307402,solidhouse
Märssytie,7,228 000 €,,103 ,https://www.solidhouse.fi/kohde/asunto/uusikaupunki/uusikaupunki/janhua/80333645,solidhouse
Purjetie,7,318 000 €,,96.4 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/vuosaari/80310826,solidhouse
Hirsipadontie,7,235 000 €,,80.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/oulunkyla___patola/80295255,solidhouse
Fredrikinkatu,14,629 000 €,,64 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/punavuori/80333305,solidhouse
Tytöntie,6,168 000 €,,69.5 ,https://www.solidhouse.fi/kohde/asunto/raisio/raisio/kerttula/80333627,solidhouse
Koivukulmantie,4,105 000 €,,65 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/hahkana/80307976,solidhouse
Jyränmaankatu,2,149 000 €,,159 ,https://www.solidhouse.fi/kohde/asunto/nokia/nokia/harjuniitty/80307709,solidhouse
Läntinen Brahenkatu,4b,389 000 €,,56 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/alppiharju_kallio/80333259,solidhouse
Kaukola,,1 €,,,https://www.solidhouse.fi/kohde/asunto/laitila/laitila/kaukola/80334171,solidhouse
Lipstikkakuja,1,132 000 €,,24 ,https://www.solidhouse.fi/kohde/asunto/vantaa/vantaa/asola/80332639,solidhouse
Kivistöntie,8,184 000 €,,,https://www.solidhouse.fi/kohde/asunto/vantaa/vantaa/kivisto/80310850,solidhouse
Kivistöntie,8,217 000 €,,122 ,https://www.solidhouse.fi/kohde/asunto/vantaa/vantaa/kivisto/80310845,solidhouse
Ruotumiehenkatu,5,138 000 €,,61.5 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/paltta/80309637,solidhouse
Kölikatu,4,209 000 €,,61.5 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/majakkaranta/80333245,solidhouse
Höyläkuja,4,149 000 €,,48.5 ,https://www.solidhouse.fi/kohde/asunto/kerava/kerava/ahjo/80333037,solidhouse
Klaavuntie,7,259 000 €,,67 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/puotila/80332894,solidhouse
Hallinhammas,4,420 000 €,,234 ,https://www.solidhouse.fi/kohde/asunto/rauma/rauma/silikallio/80333101,solidhouse
Mäntyviita,4,325 000 €,,45 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/tapiola/80332472,solidhouse
Tuomistonkuja,3,129 000 €,,175 ,https://www.solidhouse.fi/kohde/asunto/lieto/tarvasjoki/tarvasjoki/80296149,solidhouse
Jalluntie,11b,229 000 €,,150 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/reposaari/80292624,solidhouse
Klovinportti,2,174 000 €,,26 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/mankkaa/80332600,solidhouse
Antareksenkatu,22,612 000 €,,79 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/kalasatama/80333108,solidhouse
Maisemamaalauksenkatu,3,414 000 €,,90.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/kuninkaantammi/80289796,solidhouse
Lehtikuusenkatu,15,239 000 €,,80.5 ,https://www.solidhouse.fi/kohde/asunto/nokia/nokia/sammalisto/80311458,solidhouse
Niittymaanaukea,8,369 000 €,,64 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/niittymaa/80332463,solidhouse
Paltankatu,7,110 000 €,,75 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/karsamaki/80309259,solidhouse
Laamanninkaari,12,365 000 €,,94 ,https://www.solidhouse.fi/kohde/asunto/kirkkonummi/sundsberg/sundsberg/80311188,solidhouse
Metsontie,1,35 000 €,,42 ,https://www.solidhouse.fi/kohde/asunto/taivassalo/taivassalo/taivassalo/80333148,solidhouse
Kivimäentie,14,205 000 €,,83.5 ,https://www.solidhouse.fi/kohde/asunto/vantaa/vantaa/kivimaki/80310181,solidhouse
