Address,street number,Type,Rooms,Other,Size (m2),Agency url,Agency name
Liisankatu ,21,"849,000 €",2,,110,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20580922,aktia
Kasarmikatu,8,"749,000 €",5,,101.5,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21459231,aktia
Meripuistotie,1,"279,000 €",2,,48,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21642014,aktia
Purjeentekijänkuja,5,"928,000 €",3,,88.5,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21160609,aktia
Huovitie,10,"369,000 €",3,,72.5,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21390373,aktia
Katajaharjuntie,15,"769,000 €",5,,109,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20422044,aktia
Laakavuorenkuja,1,"135,000 €",3,,65,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21395261,aktia
Itäinen Puistotie,5,"2,490,000 €",4,,172,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20788915,aktia
Johan Sederholmin tie ,2,"293,000 €",3,,74.5,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21126793,aktia
Kauppiaankatu,13,"505,000 €",2,,57.1,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20636146,aktia
Pajalahdentie,9 ,"325,000 €",2,,58.5,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21231045,aktia
Perämiehenkatu,9,"279,000 €",1,,32.5,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21551814,aktia
Käärtinpolku,6,"169,900 €",2,,43,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21930898,aktia
Punahilkantie ,14,"198,000 €",2,,52,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21259343,aktia
Neitsytsaarentie,5,"129,000 €",2,,55,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21715587,aktia
Hirsipadontie ,7,"144,900 €",2,,59,https://www.aktialkv.fi/myytavat-asunnot/helsinki/21381119,aktia
Kaupintie,16,"228,000 €",2,,58,https://www.aktialkv.fi/myytavat-asunnot/helsinki/20899683,aktia
