Address,street number,Type,Rooms,Other,Size (m2),Agency url,Agency name
Puistokatu,7,"1,350,000 €",4,,133 ,https://bo.fi/kohde/545078/,bo
Merikatu,25,"4,500,000 €",7,,208 ,https://bo.fi/kohde/544951/,bo
Korkeavuorenkatu,3,"995,000 €",4,,101 ,https://bo.fi/kohde/544946/,bo
Pietarinkatu,1,"942,000 €",3,,124 ,https://bo.fi/kohde/544931/,bo
Vuorimiehenkatu,33,"295,000 €",2,,31.4 ,https://bo.fi/kohde/544907/,bo
Tehtaankatu,16,"860,000 €",2,,75 ,https://bo.fi/kohde/544900/,bo
Tähtitorninkatu,16,"880,000 €",2,,79 ,https://bo.fi/kohde/544846/,bo
Merikatu,11,"1,750,000 €",3,,86 ,https://bo.fi/kohde/544837/,bo
Merikatu,11,"2,500,000 €",5,,123 ,https://bo.fi/kohde/544836/,bo
Pietarinkatu,15,"217,000 €",1,,24 ,https://bo.fi/kohde/544829/,bo
Johanneksentie,2,"1,425,000 €",4,,144 ,https://bo.fi/kohde/544812/,bo
Laivanvarustajankatu,4,"690,000 €",2,,65.5 ,https://bo.fi/kohde/544739/,bo
Jääkärinkatu,5,"1,249,000 €",5,,158 ,https://bo.fi/kohde/544576/,bo
Merikatu,5,"1,533,000 €",3,,105 ,https://bo.fi/kohde/544573/,bo
Pietarinkatu,4,"710,000 €",4,,77 ,https://bo.fi/kohde/544541/,bo
Merikatu,3,"4,900,000 €",6,,211 ,https://bo.fi/kohde/544523/,bo
Vuorimiehenkatu,1,"1,700,000 €",3,,123 ,https://bo.fi/kohde/544390/,bo
Armfeltintie,2,"2,350,000 €",5,,148 ,https://bo.fi/kohde/544353/,bo
Tarkkampujankatu,8,"790,000 €",3,,112 ,https://bo.fi/kohde/544339/,bo
Eteläinen Makasiininkatu,,"960,000 €",4,,111 ,https://bo.fi/kohde/544322/,bo
Vuorimiehenkatu,1,"1,780,000 €",3,,132 ,https://bo.fi/kohde/544221/,bo
Huvilakatu,25,"1,240,000 €",4,,113.5 ,https://bo.fi/kohde/544212/,bo
Speranskintie,3,"750,000 €",3,,68 ,https://bo.fi/kohde/544192/,bo
Huvilakuja,14,"1,380,000 €",3,,111 ,https://bo.fi/kohde/544079/,bo
Tarkk'ampujankatu,2,"749,000 €",2,,83 ,https://bo.fi/kohde/544062/,bo
Kapteeninkatu -,8-10,"498,000 €",2,,52.9 ,https://bo.fi/kohde/543887/,bo
Raatimiehenkatu,1,"1,070,000 €",3,,105.5 ,https://bo.fi/kohde/543797/,bo
Vuorimiehenkatu,5,"3,690,000 €",6,,222 ,https://bo.fi/kohde/543758/,bo
Kasarmikatu,28,"1,890,000 €",3,,182 ,https://bo.fi/kohde/543701/,bo
Pietarinkatu,15,"198,000 €",1,,24 ,https://bo.fi/kohde/543672/,bo
Kapteeninkatu,24,"389,000 €",2,,42 ,https://bo.fi/kohde/543271/,bo
Neitsytpolku b,2,"598,000 €",2,,65 ,https://bo.fi/kohde/543153/,bo
Hernesaarenkatu,7,"1,960,000 €",,,187.5 ,https://bo.fi/kohde/543115/,bo
Pietarinkatu,11,"518,000 €",2,,65 ,https://bo.fi/kohde/542948/,bo
Korkeavuorenkatu,21,"1,495,000 €",,,88.5 ,https://bo.fi/kohde/542117/,bo
Huvilakatu,14,"685,000 €",2,,104 ,https://bo.fi/kohde/542111/,bo
Merikatu,5,"1,154,251 €",2,,99 ,https://bo.fi/kohde/540695/,bo
Merikatu,5,"2,577,046 €",5,,170 ,https://bo.fi/kohde/540692/,bo
Eteläranta,2,"1,590,000 €",,,157.9 ,https://bo.fi/kohde/535071/,bo
