Address,street number,Type,Rooms,Other,Size (m2),Agency url,Agency name
Kontiontie,7,"245,000 €",1,,37 ,https://centrallkv.fi/fi/myyntikohteet/151-Kontiontie-7.html,centrallkv
Hiiralankaari,25,"860,000 €",4,,122 ,https://centrallkv.fi/fi/myyntikohteet/149-Hiiralankaari-25.html,centrallkv
Laivastokatu,20,"485,000 €",2,,32 ,https://centrallkv.fi/fi/myyntikohteet/141-Laivastokatu-20.html,centrallkv
Laivastokatu,20,"415,000 €",1,,28 ,https://centrallkv.fi/fi/myyntikohteet/139-Laivastokatu-20.html,centrallkv
Merikasarminkatu,2,"1,350,000 €",6,,130.5 ,https://centrallkv.fi/fi/myyntikohteet/135-Merikasarminkatu-2.html,centrallkv
Vuorimiehenkatu,7,"2,070,000 €",6,,219 ,https://centrallkv.fi/fi/myyntikohteet/133-Vuorimiehenkatu-7.html,centrallkv
Sinebrychoffinkatu,,"829,000 €",3,,79 ,https://centrallkv.fi/fi/myyntikohteet/131-Sinebrychoffinkatu.html,centrallkv
Juhannuskalliontie  b,21,"2,195,000 €",8,,295.5 ,https://centrallkv.fi/fi/myyntikohteet/129-Juhannuskalliontie-21-b.html,centrallkv
Pietarinkatu,2,"1,590,000 €",4,,169 ,https://centrallkv.fi/fi/myyntikohteet/127-Pietarinkatu-2.html,centrallkv
Lönnrotinkatu,22,"745,000 €",3,,77 ,https://centrallkv.fi/fi/myyntikohteet/125-L-nnrotinkatu-22.html,centrallkv
Runeberginkatu,17,"1,150,000 €",6,,240 ,https://centrallkv.fi/fi/myyntikohteet/123-Runeberginkatu-17.html,centrallkv
Asteroidikuja,4,"624,000 €",6,,143 ,https://centrallkv.fi/fi/myyntikohteet/119-Asteroidikuja-4.html,centrallkv
Piritanaukio,2,"784,000 €",2,,78.5 ,https://centrallkv.fi/fi/myyntikohteet/113-Piritanaukio-2.html,centrallkv
Albertinkatu -,26-28,"536,000 €",2,,67 ,https://centrallkv.fi/fi/myyntikohteet/111-Albertinkatu-26-28.html,centrallkv
Itälinnake,10,"1,550,000 €",4,,134.5 ,https://centrallkv.fi/fi/myyntikohteet/109-It-linnake-10.html,centrallkv
Kalevankatu,36,"895,000 €",5,,124 ,https://centrallkv.fi/fi/myyntikohteet/105-Kalevankatu-36.html,centrallkv
Jääkärinkatu,13,"427,000 €",2,,49 ,https://centrallkv.fi/fi/myyntikohteet/103-J-k-rinkatu-13.html,centrallkv
Kuninkaankatu,9,"219,000 €",3,,72 ,https://centrallkv.fi/fi/myyntikohteet/95-Kuninkaankatu-9.html,centrallkv
Leppäsuonkatu,10,"55,000 €",,,,https://centrallkv.fi/fi/myyntikohteet/93-Lepp-suonkatu-10.html,centrallkv
Vironkatu,7,"549,000 €",2,,70.5 ,https://centrallkv.fi/fi/myyntikohteet/91-Vironkatu-7.html,centrallkv
Hietamäentie,8,"498,000 €",4,,189 ,https://centrallkv.fi/fi/myyntikohteet/89-Hietam-entie-8.html,centrallkv
Marjaniemenranta  B,35,"2,230,000 €",3,,164 ,https://centrallkv.fi/fi/myyntikohteet/85-Marjaniemenranta-35-B.html,centrallkv
Uudenkaupungintie,7,"147,000 €",1,,21 ,https://centrallkv.fi/fi/myyntikohteet/83-Uudenkaupungintie-7.html,centrallkv
Laivastokatu,14,"1,280,000 €",4,,149 ,https://centrallkv.fi/fi/myyntikohteet/81-Laivastokatu-14.html,centrallkv
Käenkuja b,3,"268,000 €",1,,43 ,https://centrallkv.fi/fi/myyntikohteet/79-K-enkuja-3b.html,centrallkv
Klaarantie,7,"198,000 €",1,,27.5 ,https://centrallkv.fi/fi/myyntikohteet/77-Klaarantie-7.html,centrallkv
Leppäsuonkatu,10,"740,000 €",3,,85 ,https://centrallkv.fi/fi/myyntikohteet/75-Lepp-suonkatu-10.html,centrallkv
Rillitie,8,"538,000 €",3,,85 ,https://centrallkv.fi/fi/myyntikohteet/57-Rillitie-8.html,centrallkv
Rillitie,8,"494,000 €",3,,82.5 ,https://centrallkv.fi/fi/myyntikohteet/55-Rillitie-8.html,centrallkv
Bahamankatu,10,"610,000 €",4,,84.5 ,https://centrallkv.fi/fi/myyntikohteet/53-Bahamankatu-10.html,centrallkv
Pursimiehenkatu,1,"675,000 €",2,,90 ,https://centrallkv.fi/fi/myyntikohteet/39-Pursimiehenkatu-1.html,centrallkv
Tehtaankatu,13,"1,650,000 €",5,,154 ,https://centrallkv.fi/fi/myyntikohteet/35-Tehtaankatu-13.html,centrallkv
Lönnrotinkatu,42,"549,000 €",3,,69.5 ,https://centrallkv.fi/fi/myyntikohteet/31-L-nnrotinkatu-42.html,centrallkv
Kapteeninkatu -,8-10,"495,000 €",2,,52.9 ,https://centrallkv.fi/fi/myyntikohteet/29-Kapteeninkatu-8-10.html,centrallkv
Korsmaninkatu,38,"249,000 €",2,,43 ,https://centrallkv.fi/fi/myyntikohteet/27-Korsmaninkatu-38.html,centrallkv
Kalevankatu,26,"618,000 €",3,,86.5 ,https://centrallkv.fi/fi/myyntikohteet/23-Kalevankatu-26.html,centrallkv
Pursimiehenkatu,12,"299,000 €",2,,36 ,https://centrallkv.fi/fi/myyntikohteet/21-Pursimiehenkatu-12.html,centrallkv
