Address,street number,Type,Rooms,Other,Size (m2),Agency url,Agency name
Rehbinderintie,5-7,"1,380,000 €",4,,102.4,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1354937,kiinteistomaailma
Laivanvarustajankatu,4,"675,000 €",2,,75.5,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1354634,kiinteistomaailma
Tähtitorninkatu,6,"2,400,000 €",6,,201.5,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1353528,kiinteistomaailma
Huvilakatu,19,"1,398,000 €",4,,116,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1355596,kiinteistomaailma
Neitsytpolku,9,"535,000 €",2,,67,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1355435,kiinteistomaailma
Korkeavuorenkatu,31-33,"1,740,000 €",4,,162,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1347749,kiinteistomaailma
Piritanaukio,2,"975,000 €",3,,109,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1353567,kiinteistomaailma
Puistokatu,3a,"1,260,000 €",4,,119,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1348154,kiinteistomaailma
Laivurinkatu,41,"967,000 €",4,,119,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1351705,kiinteistomaailma
Neitsytpolku,9,"478,000 €",1,,48.5,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1345887,kiinteistomaailma
Ullanlinnankatu,3,"484,000 €",2,,50,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1353523,kiinteistomaailma
Tehtaankatu,16,"992,000 €",3,,98,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1347022,kiinteistomaailma
Tehtaankatu,18,"697,000 €",2,,76.3,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1348561,kiinteistomaailma
Tehtaankatu,20,"408,000 €",2,,50.95,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1335837,kiinteistomaailma
Huvilakatu,9-11,"448,000 €",2,,43.5,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1354005,kiinteistomaailma
Huvilakatu,8,"265,000 €",1,,17,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1353566,kiinteistomaailma
Puistokatu,9,"2,200,000 €",4,,166,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1346098,kiinteistomaailma
Korkeavuorenkatu,39,"460,000 €",2,,50,https://www.kiinteistomaailma.fi/helsinki_myytavat_kerrostaloasunnot/1353412,kiinteistomaailma
