Address,street number,Type,Rooms,Other,Size (m2),Agency url,Agency name
Lielahdentie,4,"598,000,00 €",4,,86.00 ,https://kotimeklarit.com/asunto/20833358_lielahdentie-4lauttasaari/,kotimeklarit
Halkosuontie,136,"565,000,00 €",5,,107.00 ,https://kotimeklarit.com/asunto/20717840_halkosuontie-136lansi-pakila/,kotimeklarit
Ahdekaunokintie,6,"295,000,00 €",,,,https://kotimeklarit.com/asunto/20446094_ahdekaunokintie-6vartiokyla/,kotimeklarit
Sepänkatu,11,"525,000,00 €",3,,64.00 ,https://kotimeklarit.com/asunto/20655056_sepankatu-11punavuori/,kotimeklarit
Korkeavuorenkatu,3,"365,000,00 €",1,,43.00 ,https://kotimeklarit.com/asunto/20175611_korkeavuorenkatu-3ullanlinna/,kotimeklarit
Eteläranta,4,"2,894,000,00 €",4,,142.50 ,https://kotimeklarit.com/asunto/20580511_etelaranta-4kaartinkaupunki/,kotimeklarit
Meritullinkatu,13,"249,000,00 €",1,,28.40 ,https://kotimeklarit.com/asunto/21075816_meritullinkatu-13kruununhaka/,kotimeklarit
Rajasaarentie,9,"788,000,00 €",3,,86.00 ,https://kotimeklarit.com/asunto/21621120_rajasaarentie-9taka-toolo/,kotimeklarit
Albertinkatu,27,"49,000,00 €",,,0.00 ,https://kotimeklarit.com/asunto/21411406_albertinkatu-27punavuori/,kotimeklarit
Gränsnäsintie,91,"198,000,00 €",5,,80.00 ,https://kotimeklarit.com/asunto/20685555_gransnasintie-91aluoma/,kotimeklarit
Jäkärlänkuja,4,"299,000,00 €",4,,100.00 ,https://kotimeklarit.com/asunto/21495881_jakarlankuja-4vesala/,kotimeklarit
Maauunintie,27,"99,000,00 €",2,,58.50 ,https://kotimeklarit.com/asunto/20133485_maauunintie-27kulomaki/,kotimeklarit
Merimiehenkatu,12,"985,000,00 €",4,,101.00 ,https://kotimeklarit.com/asunto/21593604_merimiehenkatu-12punavuori/,kotimeklarit
Vuorimiehenkatu,23,"1,748,000,00 €",3,,135.00 ,https://kotimeklarit.com/asunto/20706367_vuorimiehenkatu-23bullanlinna/,kotimeklarit
Satamakatu,3,"329,000,00 €",1,,37.50 ,https://kotimeklarit.com/asunto/20402378_satamakatu-3katajanokka/,kotimeklarit
Pihlajatie,42,"648,000,00 €",3,,101.00 ,https://kotimeklarit.com/asunto/20825189_pihlajatie-42meilahti/,kotimeklarit
Vuorimiehenkatu,23,"649,000,00 €",3,,68.50 ,https://kotimeklarit.com/asunto/20999202_vuorimiehenkatu-23bullanlinna/,kotimeklarit
Ahventie,5,"385,000,00 €",3,,76.00 ,https://kotimeklarit.com/asunto/21807903_ahventie-5haukilahti/,kotimeklarit
Lapinrinne,2,"190,000,00 €",,,116.00 ,https://kotimeklarit.com/asunto/20429048_lapinrinne-2kamppi/,kotimeklarit
Jääkärinkatu,3,"209,000,00 €",1,,26.00 ,https://kotimeklarit.com/asunto/20145938_jaakarinkatu-3ullanlinna/,kotimeklarit
Mellstenintie,2,"808,500,00 €",3,,77.00 ,https://kotimeklarit.com/asunto/21450312_mellstenintie-2haukilahti/,kotimeklarit
Mellstenintie,2,"1,531,750,00 €",4,,124.50 ,https://kotimeklarit.com/asunto/20289537_mellstenintie-2haukilahti/,kotimeklarit
Vuorimiehenkatu,4,"795,000,00 €",3,,76.00 ,https://kotimeklarit.com/asunto/21637619_vuorimiehenkatu-4ullanlinna/,kotimeklarit
Länsituuli,10,"950,000,00 €",4,,96.00 ,https://kotimeklarit.com/asunto/20723943_lansituuli-10tapiola/,kotimeklarit
Iso,,"599,000,00 €",2,,55.00 ,https://kotimeklarit.com/asunto/20664611_iso-roobertinkatu-1punavuori/,kotimeklarit
Solnantie,2,"1,260,000,00 €",5,,152.00 ,https://kotimeklarit.com/asunto/21228595_solnantie-2munkkiniemi/,kotimeklarit
Vuorimiehenkatu,31,"459,000,00 €",2,,50.50 ,https://kotimeklarit.com/asunto/21497801_vuorimiehenkatu-31ullanlinna/,kotimeklarit
Mannerheimintie,33,"469,000,00 €",1,,91.00 ,https://kotimeklarit.com/asunto/20917727_mannerheimintie-33taka-toolo/,kotimeklarit
Mannerheimintie,33,"469,000,00 €",2,,91.00 ,https://kotimeklarit.com/asunto/20345760_mannerheimintie-33taka-toolo/,kotimeklarit
Maauunintie,27,"95,000,00 €",2,,58.50 ,https://kotimeklarit.com/asunto/20296744_maauunintie-27kulomaki/,kotimeklarit
Rastaalanrinne,3,"557,000,00 €",6,,145.50 ,https://kotimeklarit.com/asunto/21992029_rastaalanrinne-3laaksolahti/,kotimeklarit
Uudisasukkaantie,2,"385,000,00 €",3,,86.50 ,https://kotimeklarit.com/asunto/21298021_uudisasukkaantie-2perusmaki/,kotimeklarit
Mellstenintie,2,"729,750,00 €",3,,69.50 ,https://kotimeklarit.com/asunto/21993513_mellstenintie-2haukilahti/,kotimeklarit
Puistotie,2,"499,000,00 €",4,,204.00 ,https://kotimeklarit.com/asunto/20440473_puistotie-2taalintehdas/,kotimeklarit
Sådön,,"1,300,000,00 €",,,,https://kotimeklarit.com/asunto/20583452_sadon-saari-stubbole/,kotimeklarit
