Address,street number,Type,Rooms,Other,Size (m2),Agency url,Agency name
Juhannustie,1,"299,000 €",4,,99,https://neliotliikkuu.fi/myytavat-asunnot/90444/,neliotliikkuu
Malmin raitti,1,"149,000 €",2,,46,https://neliotliikkuu.fi/myytavat-asunnot/90443/,neliotliikkuu
Uudenmaankatu,9-2,"248,000 €",1,,29.50,https://neliotliikkuu.fi/myytavat-asunnot/90447/,neliotliikkuu
Vänrikki Stoolin katu,8,"798,000 €",4,,130.90,https://neliotliikkuu.fi/myytavat-asunnot/90434/,neliotliikkuu
Hiekkajaalanranta,1,"398,000 €",3,,76,https://neliotliikkuu.fi/myytavat-asunnot/90425/,neliotliikkuu
Lönnrotinkatu,2,"300,000 €",1,,31.50,https://neliotliikkuu.fi/myytavat-asunnot/90399/,neliotliikkuu
Lauttasaarentie,2,"690,000 €",4,,90.50,https://neliotliikkuu.fi/myytavat-asunnot/90400/,neliotliikkuu
Urho Kekkosen katu,8,"695,000 €",3,,95,https://neliotliikkuu.fi/myytavat-asunnot/90407/,neliotliikkuu
Hakaniemenranta,2,"248,000 €",2,,53,https://neliotliikkuu.fi/myytavat-asunnot/90396/,neliotliikkuu
Hiihtäjäntie,2,"259,000 €",3,,55.50,https://neliotliikkuu.fi/myytavat-asunnot/90388/,neliotliikkuu
Sepänkatu,7,"475,000 €",2,,60,https://neliotliikkuu.fi/myytavat-asunnot/90370/,neliotliikkuu
Porvoonkatu,3,"275,000 €",2,,53,https://neliotliikkuu.fi/myytavat-asunnot/90391/,neliotliikkuu
Orioninkatu,2,"158,000 €",1,,24,https://neliotliikkuu.fi/myytavat-asunnot/90416/,neliotliikkuu
Topeliuksenkatu,2,"455,000 €",3,,76,https://neliotliikkuu.fi/myytavat-asunnot/90373/,neliotliikkuu
Abrahaminkatu,7,"985,000 €",4,,120.50,https://neliotliikkuu.fi/myytavat-asunnot/90411/,neliotliikkuu
Malminrinne,2-4,"310,000 €",2,,36,https://neliotliikkuu.fi/myytavat-asunnot/90330/,neliotliikkuu
Vaasankatu,2,"248,000 €",2,,51,https://neliotliikkuu.fi/myytavat-asunnot/90357/,neliotliikkuu
Päivärinnankatu,7,"448,000 €",3,,59,https://neliotliikkuu.fi/myytavat-asunnot/90352/,neliotliikkuu
Välimerenkatu,1,"369,000 €",2,,44,https://neliotliikkuu.fi/myytavat-asunnot/90341/,neliotliikkuu
Liikkalankuja,1,"298,000 €",3,,51.50,https://neliotliikkuu.fi/myytavat-asunnot/90368/,neliotliikkuu
Pyynikintie,5,"130,000 €",3,,61.60,https://neliotliikkuu.fi/myytavat-asunnot/90298/,neliotliikkuu
Soodakuja,6,"178,000 €",2,,38.50,https://neliotliikkuu.fi/myytavat-asunnot/90339/,neliotliikkuu
Teollisuuskatu,2,"465,000 €",3,,77.50,https://neliotliikkuu.fi/myytavat-asunnot/90414/,neliotliikkuu
Kivihaankuja,2,"565,000 €",4,,108,https://neliotliikkuu.fi/myytavat-asunnot/90316/,neliotliikkuu
Kalasatamankatu,9,"399,000 €",2,,44,https://neliotliikkuu.fi/myytavat-asunnot/90248/,neliotliikkuu
Topeliuksenkatu,2,"525,000 €",3,,72.50,https://neliotliikkuu.fi/myytavat-asunnot/90375/,neliotliikkuu
Lönnrotinkatu,1,"845,000 €",4,,137,https://neliotliikkuu.fi/myytavat-asunnot/90266/,neliotliikkuu
Pengerkatu,9,"229,000 €",1,,41.50,https://neliotliikkuu.fi/myytavat-asunnot/90242/,neliotliikkuu
Jollaksentie,6,"478,000 €",3,,100,https://neliotliikkuu.fi/myytavat-asunnot/90269/,neliotliikkuu
Aallonhalkoja,5,"429,000 €",2,,57.50,https://neliotliikkuu.fi/myytavat-asunnot/90218/,neliotliikkuu
Huvilakatu,5-7,"990,000 €",2,,73,https://neliotliikkuu.fi/myytavat-asunnot/90234/,neliotliikkuu
Ståhlbergintie,3,"329,000 €",3,,68,https://neliotliikkuu.fi/myytavat-asunnot/90261/,neliotliikkuu
Koroistentie,3,"572,000 €",4,,93,https://neliotliikkuu.fi/myytavat-asunnot/90313/,neliotliikkuu
Mannerheimintie,5,"1,090,000 €",4,,130.20,https://neliotliikkuu.fi/myytavat-asunnot/90323/,neliotliikkuu
Jokisuunpolku,2,"398,000 €",3,,81.50,https://neliotliikkuu.fi/myytavat-asunnot/90252/,neliotliikkuu
Vilhonvuorenkatu,7-9,"335,000 €",1,,49,https://neliotliikkuu.fi/myytavat-asunnot/90292/,neliotliikkuu
Alppikatu,9,"295,000 €",2,,40.50,https://neliotliikkuu.fi/myytavat-asunnot/90288/,neliotliikkuu
Kuusitie,1,"398,000 €",3,,65,https://neliotliikkuu.fi/myytavat-asunnot/90302/,neliotliikkuu
Munkkiniemen Puistotie,2,"283,000 €",2,,43.40,https://neliotliikkuu.fi/myytavat-asunnot/90219/,neliotliikkuu
Oksasenkatu,9,"545,000 €",3,,81.50,https://neliotliikkuu.fi/myytavat-asunnot/90151/,neliotliikkuu
Kangaspellontie,4,"895,000 €",7,,218,https://neliotliikkuu.fi/myytavat-asunnot/90207/,neliotliikkuu
Korsitie,1,"277,000 €",5,,99,https://neliotliikkuu.fi/myytavat-asunnot/90128/,neliotliikkuu
Laitatuulenkaari,3,"299,000 €",3,,83.50,https://neliotliikkuu.fi/myytavat-asunnot/90114/,neliotliikkuu
Tuohimäentie,9,"412,000 €",5,,104  / 111,https://neliotliikkuu.fi/myytavat-asunnot/90194/,neliotliikkuu
Linnankoskenkatu,1,"645,000 €",4,,92.50,https://neliotliikkuu.fi/myytavat-asunnot/90264/,neliotliikkuu
Klaavuntie,1,"163,000 €",2,,52.50,https://neliotliikkuu.fi/myytavat-asunnot/90161/,neliotliikkuu
Englantilaisaukio,1,"695,000 €",3,,66,https://neliotliikkuu.fi/myytavat-asunnot/90096/,neliotliikkuu
Muuttolinnuntie,1,"138,000 €",1,,36,https://neliotliikkuu.fi/myytavat-asunnot/90089/,neliotliikkuu
Merimiehenkatu,2,"519,000 €",4,,71,https://neliotliikkuu.fi/myytavat-asunnot/89619/,neliotliikkuu
Pursimiehenkatu,2,"495,000 €",3,,62,https://neliotliikkuu.fi/myytavat-asunnot/90229/,neliotliikkuu
Ruusankatu,8,"385,000 €",2,,58,https://neliotliikkuu.fi/myytavat-asunnot/90305/,neliotliikkuu
Mannerheimintie,6,"465,000 €",4,,72,https://neliotliikkuu.fi/myytavat-asunnot/90314/,neliotliikkuu
Vänrikki Stoolin katu,5,"1,285,000 €",6,,181.10,https://neliotliikkuu.fi/myytavat-asunnot/90226/,neliotliikkuu
Ruoholahdenkatu,4,"632,000 €",3,,73.50,https://neliotliikkuu.fi/myytavat-asunnot/90192/,neliotliikkuu
Vuosaarentie,6,"228,000 €",2,,52.50,https://neliotliikkuu.fi/myytavat-asunnot/89291/,neliotliikkuu
Wallininkatu,6,"348,000 €",3,,54,https://neliotliikkuu.fi/myytavat-asunnot/86577/,neliotliikkuu
Kollikatu,2,"239,000 €",2,,40,https://neliotliikkuu.fi/myytavat-asunnot/88215/,neliotliikkuu
