Address,street number,Type,Rooms,Other,Size (m2),Agency url,Agency name
Kruunuvuorenkatu,5,"1,550,000 €",4,,167,https://www.qvadrat.fi/myynti-kaikki/kruunuvuorenkatu-5/80309472,qvadrat
Pietarinkatu,21,"539,000 €",2,,49,https://www.qvadrat.fi/myynti-kaikki/pietarinkatu-21/80307692,qvadrat
Raatimiehenkatu,3,"487,000 €",2,,60,https://www.qvadrat.fi/myynti-kaikki/raatimiehenkatu-3a/80307430,qvadrat
Laivurinkatu,41,"795,000 €",3,,86,https://www.qvadrat.fi/myynti-kaikki/laivurinkatu-41/80305333,qvadrat
Naapurintie,10,"105,000 €",2,,56.5,https://www.qvadrat.fi/myynti-kaikki/naapurintie-10/80300851,qvadrat
Kasarmikatu,38,"1,290,000 €",5,,170,https://www.qvadrat.fi/myynti-kaikki/kasarmikatu-38/80297958,qvadrat
Punavuorenkatu,18,"299,000 €",1,,36.9,https://www.qvadrat.fi/myynti-kaikki/punavuorenkatu-18/80292737,qvadrat
Pohjoisranta,14,"1,350,000 €",4,,141.09,https://www.qvadrat.fi/myynti-kaikki/pohjoisranta-14/80291500,qvadrat
Läntinen,8,"360,000 €",3,,63.5,https://www.qvadrat.fi/myynti-kaikki/lantinen-papinkatu-8/80109388,qvadrat
Rehbinderintie,13-15,"1,095,000 €",3,,86.5,https://www.qvadrat.fi/myynti-kaikki/rehbinderintie-13-15/80025116,qvadrat
Länsitie,4,"350,000 €",,,,https://www.qvadrat.fi/myynti-kaikki/lansitie-4/80042575,qvadrat
