Address,street number,Type,Rooms,Other,Size (m2),Agency url,Agency name
Maisemamaalauksenkatu,3,"258,000 €",,,54.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/kuninkaantammi/80309504,solidhouse
Saparokuja,8,"449,000 €",,,269 ,https://www.solidhouse.fi/kohde/asunto/salo/halikko_as/harkhaka/80292325,solidhouse
Hallinharjanne,11,"449,000 €",,,109.7 ,https://www.solidhouse.fi/kohde/asunto/tampere/tampere/vuores/80309349,solidhouse
Michailowinkatu,4,"229,000 €",,,48.5 ,"https://www.solidhouse.fi/kohde/asunto/turku/turku/kakolanmaki,_kakola/80309789",solidhouse
Tuohimäki,7,"419,000 €",,,98 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/pohjois-tapiola/80308237,solidhouse
Varkkavuorenkatu,38,"169,000 €",,,77 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/hepokulta/80308557,solidhouse
Kortesuontie,121,"435,000 €",,,115 ,https://www.solidhouse.fi/kohde/asunto/pyharanta/santtio/santtio/80310488,solidhouse
Ruonanperäntie,212,"105,000 €",,,170 ,https://www.solidhouse.fi/kohde/asunto/uusikaupunki/kalanti/ruonanpera/80307946,solidhouse
Varnankatu,4,"198,000 €",,,119 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/suikkila/80294935,solidhouse
Helsinginkatu,1211,"318,000 €",,,47.3 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/kallio/80305307,solidhouse
Lehmuskatu,10,"132,000 €",,,49.5 ,https://www.solidhouse.fi/kohde/asunto/kerava/kerava/savio/80309078,solidhouse
Runeberginkatu,21,"833,000 €",,,112.7 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/toolo/80307830,solidhouse
Liisankatu,11,"169,000 €",,,51 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/luolavuori/80309417,solidhouse
Nervanderinkatu,10,"98,500 €",,,58 ,https://www.solidhouse.fi/kohde/asunto/uusikaupunki/uusikaupunki/keskusta/80307890,solidhouse
Kempintie,9,"118,000 €",,,56.5 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/lotskeri/80309662,solidhouse
Runkokatu,6,"89,500 €",,,60 ,https://www.solidhouse.fi/kohde/asunto/tampere/tampere/haukiluoma/80306568,solidhouse
Laulurastaankuja,1,"188,000 €",,,58.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/malmi/80308996,solidhouse
Supernovankatu,1,"264,000 €",,,70 ,https://www.solidhouse.fi/kohde/asunto/nokia/nokia/harjuniitty/80291731,solidhouse
Kapteeninpolku,6,"157,000 €",,,137 ,https://www.solidhouse.fi/kohde/asunto/uusikaupunki/kalanti/kalanti_harikkala/80309256,solidhouse
Horninkatu,11,"198,000 €",,,77 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/keskusta/80309481,solidhouse
Tiilentekijänkatu,8,"182,000 €",,,47 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/martti/80289828,solidhouse
Lipstikkakuja,10,"319,000 €",,,92.5 ,"https://www.solidhouse.fi/kohde/asunto/vantaa/vantaa/asola,_rekola,_rekolanmaki/80127534",solidhouse
Hämeentie,72,"340,000 €",,,51 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/vallila/80307070,solidhouse
Männistöntie,9,"485,000 €",,,258.5 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/kappara/80309141,solidhouse
Hämeentie,72,"310,000 €",,,49 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/vallila/80308890,solidhouse
Adjutantinkatu,2,"428,000 €",,,85.5 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/makkyla/80309031,solidhouse
Murkionkatu,22,"184,000 €",,,60.5 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/koivula/80307906,solidhouse
Pajamäentie,11,"228,000 €",,,50.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/pajamaki/80307865,solidhouse
Vironkatu,11,"923,000 €",,,92.8 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/kruununhaka/80309943,solidhouse
