Address,street number,Type,Rooms,Other,Size (m2),Agency url,Agency name
Särkitie,16,"2,212,000 €",,,275 ,https://sothebysrealty.fi/kohde/sarkitie-16/,sothebys
"Fjärdskär / SuperShe Island,",,"2,900,000 €",,,170 ,https://sothebysrealty.fi/kohde/fjardskar-supershe-island/,sothebys
Korkeavuorenkatu,24,"980,000 €",,,110 ,https://sothebysrealty.fi/kohde/korkeavuorenkatu-24-a/,sothebys
Topeliuksenkatu,1,"1,290,000 €",,,186 ,https://sothebysrealty.fi/kohde/topeliuksenkatu-1-a/,sothebys
Albertinkatu,19,"895,000 €",,,108 ,https://sothebysrealty.fi/kohde/albertinkatu-19-b/,sothebys
Lyökkiniemi,22,"3,480,000 €",,,268 ,https://sothebysrealty.fi/kohde/lyokkiniemi-22-b/,sothebys
Korkeavuorenkatu,21,"3,200,000 €",,,184 ,https://sothebysrealty.fi/kohde/korkeavuorenkatu-21-b/,sothebys
Skråbbontie,244,"2,960,000 €",,,492 ,https://sothebysrealty.fi/kohde/skrabbontie-244/,sothebys
Forsbyntie,70,"420,000 €",,,380 ,https://sothebysrealty.fi/kohde/forsbyntie-70-b/,sothebys
Hietalahdenranta,15,"2,880,000 €",,,"261,50 ",https://sothebysrealty.fi/kohde/hietalahdenranta-15-a/,sothebys
Dagmarinkatu,7,"1,325,000 €",,,"138,80 ",https://sothebysrealty.fi/kohde/dagmarinkatu-7-b/,sothebys
Fredrikinkatu,1436,"1,990,000 €",,,159 ,https://sothebysrealty.fi/kohde/fredrikinkatu-14-b-36/,sothebys
Fredrikinkatu,1435,"940,000 €",,,"72,50 ",https://sothebysrealty.fi/kohde/fredrikinkatu-14-b-35/,sothebys
Forsbyntie,70,"470,000 €",,,230 ,https://sothebysrealty.fi/kohde/forsbyntie-70-a/,sothebys
Karhusaari,6,"1,190,000 €",,,503 ,https://sothebysrealty.fi/kohde/karhusaari-6/,sothebys
Venda,16,"890,000 €",,,112 ,https://sothebysrealty.fi/kohde/venda-16/,sothebys
Messeniuksenkatu,5,"885,000 €",,,"110,50 ",https://sothebysrealty.fi/kohde/messeniuksenkatu-5-b/,sothebys
Kyläniemi,78,"1,190,000 €",,,153 ,https://sothebysrealty.fi/kohde/kylaniemi-78/,sothebys
Tähtitorninkatu,20,"949,000 €",,,"77,50 ",https://sothebysrealty.fi/kohde/tahtitorninkatu-20-d/,sothebys
Iso Roobertinkatu,17-19,"1,423,500 €",,,146 ,https://sothebysrealty.fi/kohde/iso-roobertinkatu-17-19/,sothebys
Kesäniementie,41,"1,690,000 €",,,200 ,https://sothebysrealty.fi/kohde/kesaniementie-41-a/,sothebys
Mechelininkatu,3,"849,000 €",,,85 ,https://sothebysrealty.fi/kohde/mechelininkatu-3b/,sothebys
Ruusukuja,10,"895,000 €",,,265 ,https://sothebysrealty.fi/kohde/ruusukuja-10/,sothebys
Storuddintie,486,"1,640,000 €",,,108 ,https://sothebysrealty.fi/kohde/storuddintie-486/,sothebys
Vuosselintie,19,"795,000 €",,,147 ,https://sothebysrealty.fi/kohde/vuosselintie-19/,sothebys
Kaskiauranpolku,8,"4,950,000 €",,,375 ,https://sothebysrealty.fi/kohde/kaskiauranpolku-8/,sothebys
Arcturuksenkatu,33,"1,995,000 €",,,"197,50 ",https://sothebysrealty.fi/kohde/arcturuksenkatu-33/,sothebys
Korkeavuorenkatu,21,"698,000 €",,,44 ,https://sothebysrealty.fi/kohde/korkeavuorenkatu-21-c/,sothebys
Neitsytpolku,2,"3,960,000 €",,,214 ,https://sothebysrealty.fi/kohde/neitsytpolku-2-aa/,sothebys
Armas Lindgrenin tie,15,"2,790,000 €",,,368 ,https://sothebysrealty.fi/kohde/armas-lindgrenin-tie-15/,sothebys
Lönnrotinkatu,33-35,"1,295,000 €",,,163 ,https://sothebysrealty.fi/kohde/lonnrotinkatu-33-35/,sothebys
"Remmarholmen,",,"3,450,000 €",,,150 ,https://sothebysrealty.fi/kohde/remmarholmen/,sothebys
Juhannuskalliontie,27,"5,250,000 €",,,571 ,https://sothebysrealty.fi/kohde/juhannuskalliontie-27-e/,sothebys
Koivusaarentie,7,"5,700,000 €",,,440 ,https://sothebysrealty.fi/kohde/koivusaarentie-7/,sothebys
Kemijärventie,223,"1,280,000 €",,,"98,50 ",https://sothebysrealty.fi/kohde/kemijarventie-223-a/,sothebys
Laivanvarustajankatu,4,"845,000 €",,,66 ,https://sothebysrealty.fi/kohde/laivanvarustajankatu-4-d/,sothebys
Jerisrannantie,20,"865,000 €",,,135 ,https://sothebysrealty.fi/kohde/jerisrannantie-20/,sothebys
Fokka,3,"2,190,000 €",,,,https://sothebysrealty.fi/kohde/fokka-3/,sothebys
Kuusiniementie,19,"2,480,000 €",,,243 ,https://sothebysrealty.fi/kohde/kuusiniementie-19-c/,sothebys
Mustanlahdentie,4,"1,250,000 €",,,260 ,https://sothebysrealty.fi/kohde/mustanlahdentie-4-a/,sothebys
Kuusiniementie,9,"9,300,000 €",,,581 ,https://sothebysrealty.fi/kohde/kuusiniementie-9/,sothebys
Keselmäjärventie,5,"648,000 €",,,170 ,https://sothebysrealty.fi/kohde/keselmajarventie-5/,sothebys
Svärtisholmen,34,"1,250,000 €",,,255 ,https://sothebysrealty.fi/kohde/svartisholmen-34/,sothebys
