Address,street number,Type,Rooms,Other,Size (m2),Agency url,Agency name
Niittysaarentie,9,"1,400,000 €",6,,279,https://westhouse.fi/kohteet/niittysaarentie-9/,westhouse
Eestinlaakso,9,"237,000 €",2,,44,https://westhouse.fi/kohteet/eestinlaakso-9/,westhouse
Länsilinnake,12,"985,000 €",5,,198,https://westhouse.fi/kohteet/lansilinnake-12/,westhouse
Haukiverkko,8,"890,000 €",5,,209,https://westhouse.fi/kohteet/haukiverkko-8-b/,westhouse
Ristihaantie,14,"498,000 €",5,,106,https://westhouse.fi/kohteet/ristihaantie-14/,westhouse
Ahventie,1,"315,000 €",3,,71,https://westhouse.fi/kohteet/ahventie-1/,westhouse
Jääkärinkatu,10,"382,000 €",2,,45,https://westhouse.fi/kohteet/jaakarinkatu-10a/,westhouse
Valhallankatu,16,"563,000 €",3,,71.5,https://westhouse.fi/kohteet/valhallankatu-16/,westhouse
Koukkuniementie,8,"850,000 €",6,,211,https://westhouse.fi/kohteet/koukkuniementie-8/,westhouse
Nokitontunkuja,4,"279,000 €",2,,56.5,https://westhouse.fi/kohteet/nokitontunkuja-4/,westhouse
Haahkakuja,3,"790,000 €",6,,120,https://westhouse.fi/kohteet/haahkakuja-3/,westhouse
Pohjoisranta,16,"1,098,000 €",4,,111,https://westhouse.fi/kohteet/pohjoisranta-16/,westhouse
Huovitie,3,"270,000 €",4,,68,https://westhouse.fi/kohteet/huovitie-3/,westhouse
Aamukuja,3,"325,000 €",3,,80,https://westhouse.fi/kohteet/aamukuja-3/,westhouse
Koivuniementie,101,"1,620,000 €",6,,235,https://westhouse.fi/kohteet/koivuniementie-101-2/,westhouse
Särkitie,,"595,000 €",6,,146,https://westhouse.fi/kohteet/sarkitie/,westhouse
Riihitontuntie,14,"280,000 €",2,,39.5,https://westhouse.fi/kohteet/riihitontuntie-14/,westhouse
Punalatvantie,5,"480,000 €",5,,132,https://westhouse.fi/kohteet/punalatvantie-5/,westhouse
Porvoonkatu,3,"348,000 €",2,,48,https://westhouse.fi/kohteet/porvoonkatu-3/,westhouse
Brobackantie,11,"618,000 €",7,,183,https://westhouse.fi/kohteet/brobackantie-11-a/,westhouse
