Name,Address,Genre,Business Hours,Number of Seats,Phone Number,URL
無制限飲み放題 個室居酒屋 うまいもん酒場 二代目 轍 盛岡大通り店,岩手県 盛岡市 大通 2-3-7 CT33ビル 3F,居酒屋、海鮮、焼き鳥,"営業時間
PayPay決済利用可能◎
●月 ～ 木・日・祝日
ディナー　１６：００～翌１：００
（L.O.翌12:00、ドリンクL.O.翌12:30）
●金・土・祝前日
ディナー　１６：００～翌５：００
（L.O.翌3:00、ドリンクL.O.翌4:00） 
★ご予約 受付時間 １１：００～２４：００まで★
０１９－６１２－３３７０
※お昼のご宴会等、営業時間外の宴会もお気軽にお問合せ下さい♪
日曜営業
定休日
年中無休　※地域共通クーポン取扱店　飲み放題有◎",120席,080-3525-8940,https://tabelog.com/iwate/A0301/A030101/3009363/
田清魚店 フェザン店,岩手県 盛岡市 盛岡駅前通 1-44 盛岡駅ビル フェザン,その他,"営業時間
10:00～21:00
日曜営業
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3005337/
南部マルシェ ぞっこん広場,岩手県 盛岡市 上厨川 字野子107,その他,"営業時間
9:00～17:00
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",22席,,https://tabelog.com/iwate/A0301/A030104/3009810/
火no山,岩手県 盛岡市 大通 2-7-26 スギヤマビル　６Ｆ,居酒屋、海鮮、創作料理,"営業時間
[月～木]
17:30～22:30(L.O.22:00)
[金・土]
17:30～23:00(L.O.22:15)
定休日
日曜日",40席,019-624-2400,https://tabelog.com/iwate/A0301/A030101/3000112/
鳥秀,岩手県 盛岡市 盛岡駅前北通 4-11,焼き鳥,,,,https://tabelog.com/iwate/A0301/A030101/3004855/
白龍 フェザン分店,岩手県 盛岡市 盛岡駅前通 1-44 盛岡フェザン おでんせ館 1F,麺類、郷土料理,"営業時間
11:00～20:30（L.O.）
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。","
                    （テーブル席）
                  ",,https://tabelog.com/iwate/A0301/A030101/3009618/
はたや,岩手県 盛岡市 内丸 16-15,とんかつ,"営業時間
[月～土]
11：30〜14：00
17：00〜21：00（L.O）
[日・祝]
11:30～14:30
17:00～20：00（L.O） 
日曜営業
定休日
第2・第4日曜
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",36席,,https://tabelog.com/iwate/A0301/A030101/3000098/
はま寿司 盛岡上田店,岩手県 盛岡市 上田 4-19-26,回転寿司、ケーキ,"営業時間
[平日]
11:00～23:00(LO22：45）
[土・日・祝]
10:00～23:00(LO22：45）
日曜営業
定休日
無休",194席,,https://tabelog.com/iwate/A0301/A030101/3005341/
北野エース 盛岡カワトク店,岩手県 盛岡市 菜園 1-10-1 パルクアベニューカワトク  B1F,その他,,,,https://tabelog.com/iwate/A0301/A030101/3009634/
駄菓子屋 イオン盛岡店,岩手県 盛岡市 前潟 4-7-1 イオン盛岡 2F,その他,"営業時間
10:00～22:00
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3009106/
セブンイレブン 盛岡駅前通店,岩手県 盛岡市 盛岡駅前通 7-15,コンビニ・スーパー,"営業時間
24時間営業
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3012207/
ゆっこ盛岡,岩手県 盛岡市 上堂 4-10-8,その他,"営業時間
5:00～翌1:00
日曜営業
定休日
不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3008528/
盛岡ヒルズ,岩手県 盛岡市 盛岡駅前通 15-25,ホテル,"営業時間
(朝食のみ)6:00～9:00　
※夕食はホテル内『旬菜食堂 盛岡BARU・GOTTSU(バル・ゴッツ)』
(019～623～7009)17:00～24:00(L.O.23:30)、
定休日:日曜日を別料金で利用可
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3006405/
寿し廣,岩手県 盛岡市 西青山 2-4-22,寿司,"営業時間
11:30～13:30 16:30～21:30
定休日
水曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3000490/
お多福ずし,岩手県 盛岡市 大通 1-7-12,寿司,,,,https://tabelog.com/iwate/A0301/A030101/3001934/
すし善,岩手県 盛岡市 東安庭 3-3-4,寿司,"営業時間
11:00～13:30(L.O)
17:00～22:00
日曜営業
定休日
第１第３月曜日（祝日の場合は翌日）
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0301/A030101/3000178/
若竹,岩手県 盛岡市 大通 1-9-25,日本料理、寿司,"営業時間
17:00～24:00
定休日
日曜
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",60席,,https://tabelog.com/iwate/A0301/A030101/3000790/
田清魚店 マルイチみたけ店,岩手県 盛岡市 みたけ 2-12-22,寿司,,,,https://tabelog.com/iwate/A0301/A030101/3009907/
岩手ファーム,岩手県 盛岡市 玉山 区下田字生出731-7,その他,"営業時間
8:30～18:00
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/iwate/A0305/A030501/3009018/
Aコープ 飯岡駅前店,岩手県 盛岡市 永井 20-3-1,その他,,,,https://tabelog.com/iwate/A0301/A030101/3010694/
