State Name,City Name,Store Name,Store Address,Store Phone Number,Store Email,Store Instagram Account URL,Store Details Page URL
Florida,Palm Bay,Marijuana Doctor - Palm Bay,"1420 Palm Bay Road NE, Palm Bay, Florida 32905",(844) 442-0362,appointments@marijuanadoctor.com,https://www.instagram.com/marijuanadocfl/,https://weedmaps.com/doctors/marijuana-doctor-27#details
Oklahoma,Tulsa,Fighting Flower,"303 S 193rd E Ave, Tulsa, Oklahoma 74108",(918) 379-5087,fightingflower@yahoo.com,https://www.instagram.com/https://www.facebook.com/fightingflowerdispo/,https://weedmaps.com/dispensaries/fighting-flower#details
Oklahoma,Broken Arrow,Purple Moon Dispensary - Broken Arrow,"401 W Kenosha St, Broken Arrow, Oklahoma 74012",(539) 292-7757,purplemoondispensary@gmail.com,https://www.instagram.com/purplemoonllc_/,https://weedmaps.com/dispensaries/purple-moon-dispensary#details
Oklahoma,Coweta,Purple Moon Dispensary - Coweta (Open Now!),"13872 OK - 51, Coweta, Oklahoma 74429",(918) 863-5185,cowetapurplemoon@gmail.com,https://www.instagram.com/purplemoonllc_/,https://weedmaps.com/dispensaries/purple-moon-dispensary-coweta#details
Pennsylvania,Mount Morris,Dr. Norihito Onishi,"186 Locust Ave, Mount Morris, Pennsylvania 15349",(888) 262-0021,customerservice@weedmaps.com,,https://weedmaps.com/doctors/dr-norihito-onishi#details
Oklahoma,Pryor,Faded Flamingo - Pryor,"520 s Mill st, Pryor, Oklahoma 74361",+19183738074,fadedflamingo@icloud.com,https://www.instagram.com/faded.flamingo.pryor/,https://weedmaps.com/dispensaries/cannabis-unlimited-1#details
Oklahoma,Pryor,Big Buds Dispensary - Pryor,"106 S Mill, Pryor, Oklahoma 74361",(405) 886-5792,Ilikebigbudstoo@gmail.com,https://www.instagram.com/thisisbigbuds/,https://weedmaps.com/dispensaries/big-buds-dispensary#details
Michigan,Three Rivers,Timber Cannabis Co - Three Rivers,"691 S US HWY 131, Three Rivers, Michigan 49093",(269) 528-3193,info@stashventures.com,https://www.instagram.com/timbercanna/,https://weedmaps.com/dispensaries/timber-cannabis-co-three-rivers#details
Michigan,Morenci,Pinnacle Emporium - Morenci,"850 E Main St, Morenci, Michigan 49256",(517) 458-3040,morenci@pinnaclecanna.com,https://www.instagram.com/pinnacle_emporium_/,https://weedmaps.com/dispensaries/pinnacle-emporium#details
Michigan,Morenci,Remedii - Stateline (Medical & Adult-use),"989 East Main Street, Morenci, Michigan 49256",(517) 458-3800,stateline@pharmacoinc.com,,https://weedmaps.com/dispensaries/state-line-wellness#details
Oklahoma,Pryor,Affordable Medical Cannabis - Pryor,"102 NE 1st Street, Pryor, Oklahoma 74361",(918) 825-9333,affordablemedicalinc1@gmail.com,https://www.instagram.com/Affordablemedicalok/,https://weedmaps.com/dispensaries/affordable-medical-cannabis-2#details
Michigan,Three Rivers,The Goat Cannabis Company,"752 US HWY 131, Ste 752, Three Rivers, Michigan 49093",(208) 843-4628,evan@thegoatcanco.com,https://www.instagram.com/thegoatcannabiscompany/,https://weedmaps.com/dispensaries/the-goat-cannabis-company#details
Florida,Ormond Beach,Compassionate Health and Managed Pain,"570 Memorial Circle, Suite 200, Ormond Beach, Florida 32174",(386) 944-9813,info@champhealth4u.com,,https://weedmaps.com/doctors/compassionate-health-and-managed-pain#details
Illinois,Chicago,Dr. David Zeiger,"2731 N. Lincoln Ave, Chicago, Illinois 60614",(312) 255-9444,zeigerd@healthworksimc.com,,https://weedmaps.com/doctors/dr-david-zeiger#details
Oklahoma,Chouteau,Nature's Fix Dispensary,"210 S. Chouteau Ave., Chouteau, Oklahoma 74337",(918) 476-0544,naturesfixdispensary@gmail.com,,https://weedmaps.com/dispensaries/nature-s-fix-dispensary-llc#details
Illinois,Chicago,Medical Cannabis Outreach,"3409 West Fullerton Ave., Chicago, Illinois 60647",(309) 338-8900,mcomarketingdept@gmail.com,,https://weedmaps.com/doctors/medical-cannabis-outreach-2#details
Oklahoma,Choutea,Chouteau House of Fire - 24/7 (Never Closed),"1400 S Choutea, Choutea, Oklahoma 74337",(918) 476-0552,team@tulsahouseoffire.com,https://www.instagram.com/hof_chouteau/,https://weedmaps.com/dispensaries/sun-valley-management-llc-dba-chouteau-house-of-fire#details
Oklahoma,Muskogee,Seasons of Greens,"2422 N. 32nd Street, Muskogee, Oklahoma 74401",(918) 910-5777,seasonsofgreens22@gmail.com,,https://weedmaps.com/dispensaries/seasons-of-greens#details
West Virginia,Morgantown,Green Health Docs,"125 Granville Square Suite 101, Morgantown, West Virginia 26501",(877) 242-0362,info@greenhealthdocs.com,,https://weedmaps.com/doctors/green-health-docs-71107359#details
Illinois,Melrose Park,Roya Family Medical Center,"808 N. 19th Ave, Melrose Park, Illinois 60160",(708) 681-0808,mamdusa@netscape.net,,https://weedmaps.com/doctors/roya-family-medical-center#details
West Virginia,Morgantown,Trulieve - Morgantown Granville,"525 Granville Sq Suite 101, Morgantown, West Virginia 26501",(304) 449-5304,customerservice@trulieve.com,https://www.instagram.com/trulieve.wv/,https://weedmaps.com/dispensaries/trulieve-morgantown-granville#details
Oklahoma,Muskogee,Red Barn Medical Dispensary,"1220 West Harris Rd., Muskogee, Oklahoma 74401",(337) 522-0667,jeremymcclelland@gmail.com,,https://weedmaps.com/dispensaries/red-barn-medical-dispensary#details
Oklahoma,Muskogee,Big Papa's Okie Toke,"4100 South 32nd St, Muskogee, Oklahoma 74401",(918) 910-5309,DreamTeam@BPOTnation.com,,https://weedmaps.com/dispensaries/big-papa-s-okie-toke#details
Oklahoma,Muskogee,Powell Farm Dispensary,"920 W OKMULGEE ST, Muskogee, Oklahoma 74401",(918) 910-5004,powellfarmsdispensary@gmail.com,,https://weedmaps.com/dispensaries/powell-farms-1#details
Illinois,Chicago,Curaleaf Weed Street,"923 Weed Street, Chicago, Illinois 60642",(872) 249-0246,info.il@curaleaf.com,https://www.instagram.com/curaleaf.usa,https://weedmaps.com/dispensaries/windy-city-cannabis-weed-st#details
Missouri,Kirksville,Missouri Cannabis Outreach,"1220 N. Baltimore Street Suite B, Kirksville, Missouri 63501",(636) 466-3871,mocanoutreach@gmail.com,https://instagram.com/mocanoutreach,https://weedmaps.com/doctors/missouri-cannabis-outreach-3#details
Oklahoma,Muskogee,Ounce House,"717 W. Broadway, Muskogee, Oklahoma 74401",(918) 910-4080,Keithb@navi420.com,https://www.instagram.com/ouncehouse420/,https://weedmaps.com/dispensaries/navigator-life-medical-marijuana-co#details
Missouri,Kirksville,Heya Wellness Kirksville,"120 South Main Street, Kirksville, Missouri 63501",(636) 344-0767,marketing@heyawellness.com,https://www.instagram.com/heyakirksville/,https://weedmaps.com/dispensaries/heya-wellness-kirksville#details
Illinois,Oak Park,MedMen Oak Park,"1132 Lake Street, Oak Park, Illinois 60131",(708) 665-3143,info.oakpark@medmen.com,https://www.instagram.com/medmensocial,https://weedmaps.com/dispensaries/medmen-chicago-oakpark#details
Oklahoma,Muskogee,RE-UP Dispensary Muskogee,"29 West Southside Blvd, Muskogee, Oklahoma 74401",(918) 913-7316,reupmuskogee@gmail.com,,https://weedmaps.com/dispensaries/re-up-llc#details
Oklahoma,Muskogee,Green St Dispensary,"301 S MAIN ST, Muskogee, Oklahoma 74401",(918) 577-6160,greenst301smain@gmail.com,,https://weedmaps.com/dispensaries/greenst-dispensary#details
Missouri,Kirksville,Bloc Dispensary - Kirksville,"400 N. Baltimore St, Kirksville, Missouri 63510",(660) 279-0056,hello@blocdispensary.com,https://instagram.com/meetusatthebloc,https://weedmaps.com/dispensaries/bloc-dispensary-kirksville#details
Oklahoma,Wagoner,Foreva Buzzin,"31129 E. 690 RD STE B, Wagoner, Oklahoma 74467",(918) 201-2706,forevabuzzinltd.co.62@gmail.com,https://Forevabuzzinatinstagram.com,https://weedmaps.com/dispensaries/foreva-buzzin-ltdco#details
Illinois,Chicago,Verilife - River North (Now Open!),"60 W Superior, Chicago, Illinois 60654",(312) 667-6247,contact@verilife.com,https://www.instagram.com/verilifestores/,https://weedmaps.com/dispensaries/verilife-river-north#details
Florida,Leesburg,Trulieve - Leesburg,"106 W North Boulevard, Suite 105, Leesburg, Florida 34748",(352) 309-3454,customerservice@trulieve.com,,https://weedmaps.com/dispensaries/trulieve-leesburg#details
Oklahoma,Muskogee,The Vault By Grow Happy Farms,"832 N Main St Suite A, Muskogee, Oklahoma 74401",(918) 912-2669,sarah@thevaultbyghf.com,https://www.instagram.com/thevaultmuskogee/,https://weedmaps.com/dispensaries/the-vault-by-grow-happy-farms-1#details
Oklahoma,Muskogee,STONERZ & CO.,"715 Eastside Blvd, Muskogee, Oklahoma 74403",(918) 913-7201,Stonerzandcompany@yahoo.com,,https://weedmaps.com/dispensaries/stonerz-co#details
Illinois,Chicago,Green Rose Dispensary,"612 n wells, Chicago, Illinois 60654",(312) 268-0007,tpatterson@greenroseil.com,https://www.instagram.com/greenrosebrands/,https://weedmaps.com/dispensaries/green-rose-dispensary#details
Illinois,Chicago,Sunnyside Cannabis Dispensary - River North,"436 N Clark Street, Chicago, Illinois 60654",(312) 481-7380,listings@sunnyside.shop,https://www.instagram.com/sunnyside.dispensary/,https://weedmaps.com/dispensaries/sunnyside-dispensary-river-north#details
Illinois,Chicago,Illinois Medical Cannabis Doctors,"160 N Wacker Dr, Chicago, Illinois 60606",(833) 226-6362,illmedcanndoc@gmail.com,,https://weedmaps.com/doctors/illinois-medical-cannabis-doctors#details
Illinois,Chicago,Nature's Care West Loop,"810 W. Randolph Street, Chicago, Illinois 60607",(872) 250-6520,hi@naturescarecompany.com,https://www.instagram.com/naturescare/,https://weedmaps.com/dispensaries/nature-s-care-west-loop#details
Illinois,Broadview,Viola - Broadview,"1516 Roosevelt Road, Broadview, Illinois 60155",(872) 328-4652,marwa@onmconsultants.com,https://www.instagram.com/viola.chicago/,https://weedmaps.com/dispensaries/viola-broadview#details
Florida,Spring Hill,Curaleaf - Spring Hill,"4287 Mariner Boulevard, Spring Hill, Florida 34609",(352) 340-1250,info.fl@curaleaf.com,https://www.instagram.com/curaleaf.usa/,https://weedmaps.com/dispensaries/curaleaf-spring-hill#details
Illinois,North Aurora,Verilife - North Aurora (Medical & Recreational),"161 S Lincoln Way, Suite 301, North Aurora, Illinois 60542",(888) 493-6066,contact@verilife.com,https://www.instagram.com/verilifestores/,https://weedmaps.com/dispensaries/pharmacannis-north-aurora#details
Illinois,Chicago,Zen Leaf West Loop,"222 S Halsted St., Chicago, Illinois 60661",(872) 260-3874,westloop@zenleafdispensaries.com,https://www.instagram.com/zenleafdispensaries/,https://weedmaps.com/dispensaries/zen-leaf-west-loop#details
