Date,Building Number,Project Name,Address,Status,Url
06/30/2008,2008-006201,FREESTANDING BUILDING,"1815 BLACKWELL RD, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=09HST&capID2=00000&capID3=06180&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006193,NEW STRUCTURE,"1243 BELMONT AVE, SMYRNA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BLD&capID2=00000&capID3=01459&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006195,WALL SIGNS,"1060 EAST PIEDMONT RD, MARIETTA GA 30062 GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BLD&capID2=00000&capID3=01457&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006200,REMODEL - 1ST FL LOBBY,"1899 POWERS FERRY RD, ATLANTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BLD&capID2=00000&capID3=01456&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006211,NEW TENANT SPACE,"4338 PACES FERRY RD, C, ATLANTA  GA  30339 GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BLD&capID2=00000&capID3=01455&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006225,RETAINING WALL,"3702 RIVER HEIGHTS XING, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BLD&capID2=00000&capID3=01454&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006217,BANNER PERMIT,"1401 JOHNSON FERRY RD, MARIETTA GA 30062 GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BLD&capID2=00000&capID3=01453&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006231,NEW TENANT-INTERIOR RENO,"1437 CUMBERLAND MALL, ATLANTA GA",Issued,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BLD&capID2=00000&capID3=01452&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006230,NEW TENANT-INTERIOR RENO,"1437 CUMBERLAND MALL, ATLANTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BLD&capID2=00000&capID3=01451&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006241,ADDITION & RENOVATION,"850 OLD PIEDMONT ROAD, MARIETTA GA 30066",Certificate of Occupancy,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BLD&capID2=00000&capID3=01450&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006240,NEW TENANT-INTERIOR RENO,"400 ERNEST BARRETT PKY, 177, KENNESAW GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BLD&capID2=00000&capID3=01449&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006234,ELEC,"2124 BARRETT PARK DR, 500, KENNESAW GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BLD&capID2=00000&capID3=01448&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006242,BASEMENT FINISH,"1946 NEW KEMP RD, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04996&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006233,REPLACE DECK,"1543 HILLHAVEN DR, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04995&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006232,REPERMIT,"2369 HOPKINS RD, POWDER SPRINGS GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04994&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006239,REPAIR & ADDITION OF DECK,"615 BELMONT CREST DR, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04993&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006238,ADDITION,"123 LAKESHORE DR, MARIETTA GA",Void,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04992&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006237,REPERMIT 0711285RB,"2793 PRADO LN, KENNESAW GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04991&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006236,BASEMENT,"930 CHECKERED WAY, KENNESAW GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04990&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006235,FOUNTAIN/OUTDOOR LIGHTS,"5205 TIMBER RIDGE RD, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04989&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006229,REPERMIT FORECLOSURE,"1310 VONDA LN, MABLEOTN GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04988&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006228,REPERMIT,"441 OAKMONT CIR, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04987&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006227,REPERMIT FORECLOSURE,"1050 SOUTH GORDON RD, MABLETON GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04986&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006226,REPERMIT FORECLOSURE,"1269 VONDA LN, MABLETON GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04985&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006216,RENOVATION,"271 LONGLEAF DR, MARIETTA GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04984&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006215,BASEMENT FINISH,"3753 GREENVIEW DR, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04983&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006214,REPERMIT,"1137 FAIRFIELD DR, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04982&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006213,DECK,"967 HODGES CT, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04981&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006212,ELEC,"2711 CREEKVIEW PT, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04980&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006224,PLUM,"927 MILLSTONE DR, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04979&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006223,PLUM,"2478 DEVON WOOD WAY, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04978&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006222,REPERMIT FROM 0801419RB,"2163 BELMONT TRCE, POWDER SPRINGS GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04977&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006221,PLUM,"464 CHATFIELD PT, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04976&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006220,REPERMIT FROM 0801418RB,"2159 BELMONT TRCE, POWDER SPRINGS GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04975&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006219,REPERMIT FROM 0801420RB,"2182 BELMONT TRCE, POWDER SPRINGS GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04974&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006218,ADDITION,"1899 BILL MURDOCK RD, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04973&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006210,ADDITION,"1817 WICKSLEY WAY, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04972&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006209,DECK,"410 CHRISPEN TRCE, MABLETON GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04971&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006208,RENOVATION,"1880 STARLIGHT DR, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04970&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006207,INT REMODEL,"1332 FAIR OAKS AVE, MARIETTA GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04969&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006206,REPERMIT FROM 0610371RB,"2555 POPE MANOR WAY, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04968&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006205,ADDITION,"4028 RIVER RIDGE CHASE, MARIETTTA GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04967&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006204,SINGLE FAMILY STICK BUILT,"3370 EBENEZER FARM RD, MARIETTA GA",Certificate of Occupancy,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04966&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006203,SINGLE FAMILY STICK BUILT,"3480 KNIGHT RD, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04965&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006202,REPERMIT FROM 0613783RB,"2151 TAYSIDE XING, 7A, KENNESAW GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04964&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006199,REPERMIT FROM 0803122RB,"4293 ROCKY GLN, ROSWELL GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04963&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006198,DECK,"533 SE WINDGROVE RD, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04962&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006197,INT WATERLINES,"3387 TIA TRCE, KENNESAW GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04961&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006196,INT WATERLINES,"2035 OLD FORGE WAY, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04960&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006194,SERVICE CHANGE,"4930 SHALLOW CREEK TRL, KENNESAW GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04959&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006192,REPERMIT FROM 0713398RB,"2908 YALE CT, ATLANTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04957&agencyCode=COBBCO&IsToShowInspection=
06/30/2008,2008-006191,FIRE DAMAGE REPAIR,"2630 BIG OAKS DR, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BHM&capID2=00000&capID3=04956&agencyCode=COBBCO&IsToShowInspection=
06/27/2008,2008-006188,CONDO,"120 CHASTAIN RD, 208, KENNESAW GA",Certificate of Occupancy,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BMU&capID2=00000&capID3=22002&agencyCode=COBBCO&IsToShowInspection=
06/27/2008,2008-006187,CONDO,"120 CHASTAIN RD, 206, KENNESAW GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BMU&capID2=00000&capID3=22001&agencyCode=COBBCO&IsToShowInspection=
06/27/2008,2008-006186,CONDO,"120 CHASTAIN RD, UNIT 204, KENNESAW GA 30144",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BMU&capID2=00000&capID3=22000&agencyCode=COBBCO&IsToShowInspection=
06/27/2008,2008-006185,CONDO,"120 CHASTAIN RD, 202, KENNESAW GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BMU&capID2=00000&capID3=21999&agencyCode=COBBCO&IsToShowInspection=
06/27/2008,2008-006128,NEW TENANT-INTERIOR RENO,"1600 PARKWOOD CIR, 400, ATLANTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BLD&capID2=00000&capID3=01479&agencyCode=COBBCO&IsToShowInspection=
06/27/2008,2008-006138,NEW TENANT-INTERIOR RENO,"3895 CHEROKEE ST, 612, KENNESAW GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BLD&capID2=00000&capID3=01478&agencyCode=COBBCO&IsToShowInspection=
06/27/2008,2008-006147,NEW TENANT - VACANT,"3417 CANTON RD, 502, MARIETTA GA",Issued,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BLD&capID2=00000&capID3=01475&agencyCode=COBBCO&IsToShowInspection=
06/27/2008,2008-006146,NEW TENANT - VACANT,"3417 CANTON RD, 501, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BLD&capID2=00000&capID3=01474&agencyCode=COBBCO&IsToShowInspection=
06/27/2008,2008-006145,POWER USE,"2745 SANDY PLAINS RD, 128, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=08BLD&capID2=00000&capID3=01473&agencyCode=COBBCO&IsToShowInspection=
